depth	depth_interval	month	sea_basin	mean	std	count	max	min	95p	5p	min_depth	max_depth	min_range_value	max_range_value
10.0	7.5_12.5	1	12n	1.47	0.14	21.0	2.0	1.32			7.5	12.5	1.04	2.28
10.0	7.5_12.5	2	12n	1.46	0.13	22.0	2.0	1.35			7.5	12.5	1.09	2.26
10.0	7.5_12.5	3	12n	1.48	0.13	22.0	1.99	1.36			7.5	12.5	1.1	2.25
10.0	7.5_12.5	4	12n	1.48	0.11	23.0	1.84	1.38			7.5	12.5	1.16	2.06
10.0	7.5_12.5	5	12n	1.5	0.12	23.0	1.86	1.41			7.5	12.5	1.17	2.1
10.0	7.5_12.5	6	12n	1.58	0.15	24.0	1.98	1.36			7.5	12.5	1.06	2.28
10.0	7.5_12.5	7	12n	1.58	0.18	25.0	2.01	1.3			7.5	12.5	0.94	2.37
10.0	7.5_12.5	8	12n	1.73	0.32	26.0	2.52	1.05			7.5	12.5	0.41	3.16
10.0	7.5_12.5	9	12n	1.68	0.3	24.0	2.61	1.34			7.5	12.5	0.74	3.21
10.0	7.5_12.5	10	12n	1.56	0.21	23.0	2.12	1.39			7.5	12.5	0.97	2.54
10.0	7.5_12.5	11	12n	1.45	0.12	20.0	1.94	1.33			7.5	12.5	1.09	2.18
10.0	7.5_12.5	12	12n	1.44	0.05	20.0	1.58	1.34			7.5	12.5	1.24	1.68
0.0	0_2.5	2	18	0.97	0.33	25.0	1.4	0.29			0.0	2.5	0.0	2.06
0.0	0_2.5	6	18	0.78	0.35	27.0	1.28	0.11			0.0	2.5	0.0	1.98
0.0	0_2.5	8	18	1.03	0.22	25.0	1.35	0.46			0.0	2.5	0.02	1.79
5.0	2.5_7.5	6	18	0.9	0.39	20.0	1.28	0.09			2.5	7.5	0.0	2.06
5.0	2.5_7.5	8	18	1.08	0.22	19.0	1.35	0.41			2.5	7.5	0.0	1.79
0.0	0_2.5	8	20	0.55	0.23	17.0	0.85	0.25			0.0	2.5	0.0	1.31
0.0	0_2.5	6	22	0.24	0.06	17.0	0.39	0.15			0.0	2.5	0.03	0.51
0.0	0_2.5	1	Bornholm Basin	1.63	0.05	21.0	1.74	1.56			0.0	2.5	1.46	1.84
0.0	0_2.5	2	Bornholm Basin	1.64	0.06	23.0	1.74	1.55			0.0	2.5	1.43	1.86
0.0	0_2.5	3	Bornholm Basin	1.63	0.07	28.0	1.72	1.49			0.0	2.5	1.35	1.86
0.0	0_2.5	4	Bornholm Basin	1.64	0.05	30.0	1.74	1.56			0.0	2.5	1.46	1.84
0.0	0_2.5	5	Bornholm Basin	1.64	0.05	24.0	1.72	1.57			0.0	2.5	1.47	1.82
0.0	0_2.5	6	Bornholm Basin	1.63	0.05	25.0	1.72	1.54			0.0	2.5	1.44	1.82
