depth	depth_interval	month	sea_basin	mean	std	count	max	min	median	95p	5p	99p	1p	25p	75p	mad	smad	min_depth	max_depth	flag1_lower	flag1_upper	flag2_lower	flag2_upper	flag3_lower	flag3_upper	min_range_value	max_range_value
0.0	0_2.5	7	10	0.17	0.18	26.0	0.79	0.05	0.1	0.56	0.05	0.74	0.05	0.08	0.13	0.03	0.04	0.0	2.5	0.05	0.18	0.02	0.22	0.0	0.26	0.0	1.15
0.0	0_2.5	8	10	0.1	0.04	28.0	0.2	0.05	0.08	0.18	0.05	0.2	0.05	0.07	0.11	0.02	0.03	0.0	2.5	0.06	0.16	0.04	0.2	0.03	0.24	0.0	0.28
0.0	0_2.5	2	12n	2.82	5.89	392.0	61.25	0.06	0.93	11.99	0.21	32.18	0.08	0.57	2.15	0.59	0.88	0.0	2.5	0.03	3.98	0.0	5.81	0.0	7.64	0.0	73.03
0.0	0_2.5	3	12n	1.77	2.81	62.0	17.6	0.09	0.71	7.19	0.21	11.65	0.11	0.36	1.59	0.42	0.62	0.0	2.5	0.0	2.91	0.0	4.23	0.0	5.55	0.0	23.22
0.0	0_2.5	4	12n	0.93	3.25	392.0	55.4	0.07	0.64	1.67	0.14	7.72	0.07	0.29	0.71	0.28	0.41	0.0	2.5	0.0	0.82	0.0	0.92	0.0	1.02	0.0	61.9
0.0	0_2.5	5	12n	0.53	0.44	269.0	5.43	0.04	0.47	0.99	0.21	1.68	0.07	0.24	0.71	0.24	0.36	0.0	2.5	0.0	1.07	0.0	1.43	0.0	1.79	0.0	6.31
0.0	0_2.5	6	12n	0.6	0.53	350.0	5.0	0.07	0.57	1.42	0.14	2.61	0.07	0.27	0.71	0.27	0.4	0.0	2.5	0.0	0.92	0.0	1.13	0.0	1.34	0.0	6.06
0.0	0_2.5	7	12n	0.34	2.63	1871.0	110.0	0.05	0.12	0.79	0.07	2.44	0.06	0.09	0.2	0.03	0.04	0.0	2.5	0.04	0.32	0.0	0.44	0.0	0.56	0.0	115.26
0.0	0_2.5	8	12n	0.36	0.89	1861.0	16.42	0.02	0.12	1.14	0.07	3.56	0.06	0.09	0.29	0.04	0.06	0.0	2.5	0.04	0.54	0.0	0.8	0.0	1.06	0.0	18.2
0.0	0_2.5	9	12n	0.75	2.33	346.0	31.3	0.07	0.5	1.48	0.14	3.48	0.07	0.21	0.71	0.21	0.31	0.0	2.5	0.0	1.02	0.0	1.34	0.0	1.65	0.0	35.96
0.0	0_2.5	10	12n	0.87	0.91	473.0	13.9	0.07	0.71	2.38	0.21	3.63	0.07	0.4	0.9	0.26	0.39	0.0	2.5	0.0	1.18	0.0	1.47	0.0	1.76	0.0	15.72
0.0	0_2.5	11	12n	1.25	1.53	225.0	9.48	0.07	0.71	4.39	0.21	7.66	0.14	0.43	1.21	0.35	0.52	0.0	2.5	0.01	1.96	0.0	2.71	0.0	3.46	0.0	12.54
0.0	0_2.5	12	12n	1.32	1.97	72.0	14.79	0.07	0.71	3.83	0.15	8.79	0.07	0.7	1.31	0.25	0.38	0.0	2.5	0.68	2.21	0.67	3.11	0.65	4.01	0.0	18.73
5.0	2.5_7.5	1	12n	3.38	3.05	27.0	9.35	0.21	2.45	8.38	0.4	9.12	0.24	0.71	5.91	1.76	2.61	2.5	7.5	0.0	11.1	0.0	16.29	0.0	21.48	0.0	15.45
5.0	2.5_7.5	2	12n	1.3	1.93	298.0	13.79	0.07	0.71	5.79	0.21	9.52	0.07	0.36	1.21	0.39	0.58	2.5	7.5	0.0	1.96	0.0	2.71	0.0	3.46	0.0	17.65
5.0	2.5_7.5	3	12n	1.16	1.64	53.0	8.62	0.1	0.71	3.57	0.21	8.49	0.15	0.32	1.0	0.39	0.58	2.5	7.5	0.0	1.44	0.0	1.87	0.0	2.31	0.0	11.9
5.0	2.5_7.5	4	12n	0.72	1.63	298.0	21.07	0.07	0.43	1.43	0.12	7.81	0.07	0.21	0.71	0.22	0.33	2.5	7.5	0.0	1.13	0.0	1.55	0.0	1.97	0.0	24.33
5.0	2.5_7.5	5	12n	0.68	1.39	210.0	18.46	0.07	0.43	1.47	0.21	4.65	0.07	0.21	0.71	0.22	0.33	2.5	7.5	0.0	1.13	0.0	1.55	0.0	1.97	0.0	21.24
5.0	2.5_7.5	6	12n	0.61	0.61	286.0	5.56	0.07	0.43	1.57	0.14	3.02	0.07	0.22	0.71	0.27	0.4	2.5	7.5	0.0	1.13	0.0	1.55	0.0	1.97	0.0	6.78
5.0	2.5_7.5	7	12n	0.89	2.64	468.0	43.3	0.06	0.43	2.39	0.08	8.42	0.07	0.21	0.71	0.28	0.41	2.5	7.5	0.0	1.13	0.0	1.55	0.0	1.97	0.0	48.58
5.0	2.5_7.5	8	12n	1.57	9.37	487.0	193.0	0.06	0.57	4.25	0.08	10.86	0.07	0.25	0.86	0.3	0.45	2.5	7.5	0.0	1.3	0.0	1.73	0.0	2.16	0.0	211.74
5.0	2.5_7.5	9	12n	0.69	0.77	341.0	8.43	0.07	0.57	1.78	0.14	3.97	0.07	0.29	0.71	0.28	0.41	2.5	7.5	0.0	0.92	0.0	1.13	0.0	1.34	0.0	9.97
5.0	2.5_7.5	10	12n	0.79	0.67	355.0	4.95	0.07	0.71	2.04	0.21	3.83	0.07	0.36	0.86	0.28	0.41	2.5	7.5	0.0	1.08	0.0	1.31	0.0	1.54	0.0	6.29
5.0	2.5_7.5	11	12n	1.46	1.81	235.0	9.85	0.07	0.71	5.34	0.21	8.47	0.14	0.43	1.42	0.38	0.56	2.5	7.5	0.01	2.48	0.0	3.55	0.0	4.62	0.0	13.47
5.0	2.5_7.5	12	12n	2.28	2.94	67.0	14.03	0.07	0.8	8.76	0.18	11.18	0.07	0.7	2.06	0.58	0.85	2.5	7.5	0.55	3.95	0.4	5.84	0.25	7.73	0.0	19.91
10.0	7.5_12.5	1	12n	10.95	18.77	49.0	89.83	0.21	5.09	46.31	0.28	87.65	0.21	1.43	9.44	3.89	5.77	7.5	12.5	0.0	15.96	0.0	22.49	0.0	29.02	0.0	127.37
10.0	7.5_12.5	2	12n	3.64	12.04	326.0	159.1	0.06	0.71	17.61	0.17	49.79	0.07	0.36	1.36	0.42	0.62	7.5	12.5	0.0	2.34	0.0	3.31	0.0	4.29	0.0	183.18
