depth	depth_interval	month	sea_basin	mean	std	count	max	min	median	95p	5p	99p	1p	25p	75p	mad	smad	min_depth	max_depth	flag1_lower	flag1_upper	flag2_lower	flag2_upper	flag3_lower	flag3_upper	min_range_value	max_range_value
0.0	0_2.5	7	10	3.58	1.62	26.0	6.8	0.8	3.1	6.29	1.42	6.68	0.95	2.47	4.66	1.11	1.65	0.0	2.5	1.53	7.0	0.58	9.34	0.0	11.68	0.0	10.04
0.0	0_2.5	8	10	3.34	1.58	26.0	8.9	0.99	3.1	5.8	1.42	8.22	1.08	2.52	3.8	0.67	0.99	0.0	2.5	1.65	4.85	0.78	5.9	0.0	6.95	0.0	12.06
0.0	0_2.5	2	12n	2.86	5.16	97.0	29.1	0.2	1.1	13.4	0.4	26.13	0.2	0.69	2.05	0.57	0.84	0.0	2.5	0.07	3.47	0.0	4.9	0.0	6.32	0.0	39.42
0.0	0_2.5	3	12n	6.61	9.42	32.0	40.0	0.3	3.0	25.02	0.49	39.08	0.36	1.12	8.17	2.38	3.52	0.0	2.5	0.0	15.92	0.0	23.68	0.0	31.44	0.0	58.84
0.0	0_2.5	4	12n	7.09	4.67	94.0	27.0	1.04	6.49	15.0	2.08	22.35	1.04	3.3	9.65	3.2	4.74	0.0	2.5	0.0	14.39	0.0	19.13	0.0	23.87	0.0	36.34
0.0	0_2.5	5	12n	5.74	4.5	23.0	19.0	1.05	3.91	13.75	1.46	17.9	1.14	2.58	7.53	2.46	3.65	0.0	2.5	0.58	12.96	0.0	18.39	0.0	23.82	0.0	28.0
0.0	0_2.5	6	12n	4.24	4.12	120.0	27.37	0.65	3.1	11.04	1.2	24.23	0.92	1.93	5.0	1.45	2.14	0.0	2.5	0.17	7.85	0.0	10.7	0.0	13.55	0.0	35.61
0.0	0_2.5	7	12n	4.42	3.5	1498.0	33.02	0.3	3.56	9.84	1.2	19.21	0.7	2.2	5.5	1.49	2.2	0.0	2.5	0.16	8.41	0.0	11.32	0.0	14.23	0.0	40.02
0.0	0_2.5	8	12n	4.52	4.27	1565.0	50.05	0.5	3.31	10.77	1.4	22.78	0.84	2.3	5.16	1.29	1.91	0.0	2.5	0.78	7.94	0.0	10.71	0.0	13.49	0.0	58.59
0.0	0_2.5	9	12n	16.03	14.65	56.0	72.58	1.72	10.71	36.13	2.67	66.38	1.85	5.1	25.64	6.77	10.04	0.0	2.5	0.0	48.04	0.0	70.43	0.0	92.82	0.0	101.88
0.0	0_2.5	10	12n	7.59	9.64	118.0	97.0	1.22	5.62	16.04	1.96	31.79	1.34	3.27	9.09	2.61	3.87	0.0	2.5	0.0	14.3	0.0	19.5	0.0	24.7	0.0	116.28
0.0	0_2.5	1	12s	2.04	2.06	27.0	10.0	0.3	1.2	4.89	0.53	8.73	0.35	0.75	2.75	0.5	0.74	0.0	2.5	0.08	5.08	0.0	7.4	0.0	9.73	0.0	14.12
0.0	0_2.5	2	12s	2.88	4.22	90.0	30.7	0.2	1.8	7.61	0.4	22.07	0.29	0.9	2.98	1.0	1.48	0.0	2.5	0.0	4.75	0.0	6.52	0.0	8.29	0.0	39.14
0.0	0_2.5	4	12s	7.32	6.95	96.0	34.5	0.7	4.45	20.1	0.97	28.61	0.8	2.5	9.57	2.55	3.78	0.0	2.5	0.0	17.25	0.0	24.93	0.0	32.61	0.0	48.4
0.0	0_2.5	6	12s	2.92	1.72	251.0	10.7	0.4	2.4	6.35	1.1	9.75	0.75	1.75	3.6	0.8	1.19	0.0	2.5	0.78	5.4	0.0	7.2	0.0	9.0	0.0	14.14
