depth	depth_interval	month	sea_basin	mean	std	count	max	min	median	95p	5p	99p	1p	25p	75p	mad	smad	min_depth	max_depth	flag1_lower	flag1_upper	flag2_lower	flag2_upper	flag3_lower	flag3_upper	min_range_value	max_range_value
0.0	0_2.5	7	10	9.25	0.6	21.0	10.76	8.31	9.24	9.9	8.4	10.59	8.33	8.8	9.64	0.44	0.65	0.0	2.5	8.14	10.24	7.48	10.84	6.82	11.44	7.11	11.96
0.0	0_2.5	8	10	8.79	1.07	25.0	9.96	6.01	9.09	9.85	6.5	9.93	6.1	8.77	9.48	0.39	0.58	0.0	2.5	8.29	10.07	7.81	10.65	7.33	11.24	3.87	12.1
0.0	0_2.5	2	12n	8.66	0.57	222.0	11.1	5.6	8.8	9.31	7.77	9.73	7.0	8.47	8.99	0.26	0.39	0.0	2.5	7.98	9.27	7.48	9.56	6.98	9.84	4.46	12.24
0.0	0_2.5	3	12n	8.79	0.35	16.0	9.2	8.2	8.75	9.2	8.28	9.2	8.21	8.53	9.1	0.35	0.52	0.0	2.5	8.2	9.62	7.87	10.15	7.54	10.67	7.5	9.9
0.0	0_2.5	4	12n	9.85	0.78	261.0	12.99	8.2	9.73	11.34	8.89	12.23	8.3	9.3	10.22	0.46	0.68	0.0	2.5	8.66	10.96	8.01	11.69	7.37	12.42	6.64	14.55
0.0	0_2.5	5	12n	8.39	0.7	162.0	11.2	7.2	8.19	9.66	7.56	10.34	7.21	7.9	8.77	0.37	0.55	0.0	2.5	7.47	9.64	7.03	10.51	6.6	11.38	5.8	12.6
0.0	0_2.5	6	12n	7.59	0.67	207.0	10.31	5.6	7.5	8.82	6.67	9.23	6.23	7.17	7.91	0.4	0.59	0.0	2.5	6.68	8.52	6.18	9.14	5.68	9.76	4.26	11.65
0.0	0_2.5	7	12n	6.91	0.48	296.0	8.26	4.1	6.9	7.7	6.2	7.84	5.67	6.64	7.21	0.3	0.45	0.0	2.5	6.25	7.67	5.86	8.14	5.47	8.6	3.14	9.22
0.0	0_2.5	8	12n	6.46	0.54	262.0	8.2	1.3	6.43	7.26	5.81	7.71	5.56	6.17	6.71	0.27	0.4	0.0	2.5	5.78	7.13	5.39	7.55	5.0	7.97	0.22	9.28
0.0	0_2.5	9	12n	6.45	0.41	282.0	7.65	4.77	6.44	7.08	5.81	7.42	5.37	6.2	6.72	0.27	0.39	0.0	2.5	5.84	7.14	5.48	7.56	5.12	7.98	3.95	8.47
0.0	0_2.5	10	12n	6.81	0.47	295.0	9.2	5.2	6.8	7.52	6.02	8.4	5.7	6.58	7.04	0.23	0.35	0.0	2.5	6.25	7.4	5.92	7.76	5.59	8.12	4.26	10.14
0.0	0_2.5	11	12n	7.08	0.64	204.0	8.26	0.21	7.14	7.75	6.37	8.15	5.91	6.86	7.4	0.27	0.39	0.0	2.5	6.44	7.79	6.02	8.18	5.6	8.57	0.0	9.54
0.0	0_2.5	12	12n	8.35	0.78	19.0	9.8	7.0	8.4	9.44	7.32	9.73	7.06	7.7	8.95	0.7	1.04	0.0	2.5	6.65	9.77	5.6	10.6	4.55	11.42	5.44	11.36
5.0	2.5_7.5	2	12n	8.4	1.06	214.0	9.94	3.15	8.75	9.26	6.15	9.49	3.75	8.27	8.96	0.28	0.41	2.5	7.5	7.55	9.28	6.83	9.59	6.11	9.91	1.03	12.06
5.0	2.5_7.5	4	12n	9.82	0.8	251.0	12.81	5.54	9.79	11.3	8.85	12.3	8.35	9.31	10.18	0.43	0.64	2.5	7.5	8.59	10.76	7.87	11.35	7.15	11.94	3.94	14.41
5.0	2.5_7.5	5	12n	8.49	0.76	158.0	11.06	7.3	8.26	9.82	7.6	10.99	7.35	7.93	8.95	0.4	0.59	2.5	7.5	7.44	9.98	6.94	11.02	6.44	12.05	5.78	12.58
5.0	2.5_7.5	6	12n	7.71	0.67	200.0	10.51	4.73	7.63	8.89	6.8	9.26	6.44	7.3	8.0	0.35	0.52	2.5	7.5	6.8	8.56	6.31	9.11	5.82	9.67	3.39	11.85
5.0	2.5_7.5	7	12n	6.86	0.78	291.0	8.37	0.72	6.93	7.68	6.04	8.0	3.56	6.58	7.25	0.34	0.5	2.5	7.5	6.06	7.73	5.53	8.21	5.01	8.69	0.0	9.93
5.0	2.5_7.5	8	12n	6.35	0.6	258.0	7.8	0.58	6.39	7.15	5.6	7.58	5.1	6.09	6.65	0.26	0.38	2.5	7.5	5.64	7.04	5.19	7.43	4.74	7.82	0.0	9.0
5.0	2.5_7.5	9	12n	6.36	0.49	278.0	7.6	3.1	6.4	7.0	5.6	7.31	4.84	6.11	6.67	0.28	0.41	2.5	7.5	5.68	7.07	5.24	7.48	4.8	7.88	2.12	8.58
5.0	2.5_7.5	10	12n	6.75	0.51	286.0	8.68	4.13	6.76	7.48	5.96	8.4	5.15	6.51	7.0	0.24	0.36	2.5	7.5	6.14	7.36	5.76	7.72	5.38	8.08	3.11	9.7
5.0	2.5_7.5	11	12n	7.05	0.51	201.0	8.16	4.06	7.1	7.75	6.23	8.06	5.3	6.79	7.35	0.3	0.45	2.5	7.5	6.33	7.72	5.86	8.1	5.4	8.48	3.04	9.18
10.0	7.5_12.5	2	12n	8.07	1.58	218.0	9.9	0.83	8.61	9.21	4.14	9.4	2.12	8.15	8.9	0.35	0.52	7.5	12.5	7.46	9.34	6.77	9.77	6.08	10.21	0.0	13.06
10.0	7.5_12.5	3	12n	8.6	0.38	16.0	9.2	8.05	8.56	9.15	8.12	9.19	8.06	8.31	8.93	0.34	0.5	7.5	12.5	7.94	9.48	7.56	10.04	7.18	10.59	7.29	9.96
10.0	7.5_12.5	4	12n	8.98	1.47	260.0	11.22	0.84	9.3	10.29	5.79	10.72	1.86	8.85	9.66	0.38	0.56	7.5	12.5	8.17	10.2	7.5	10.74	6.82	11.28	0.0	14.16
10.0	7.5_12.5	5	12n	7.8	1.28	163.0	10.19	2.52	8.05	9.39	4.43	9.83	2.87	7.65	8.3	0.33	0.48	7.5	12.5	7.05	8.68	6.45	9.05	5.85	9.43	0.0	12.75
10.0	7.5_12.5	6	12n	7.04	1.47	200.0	8.62	0.21	7.37	8.4	2.84	8.61	1.89	6.9	7.81	0.47	0.7	7.5	12.5	6.2	8.47	5.49	9.13	4.79	9.79	0.0	11.56
10.0	7.5_12.5	7	12n	6.13	1.39	309.0	7.77	0.1	6.54	7.33	2.69	7.56	0.56	5.92	6.91	0.46	0.68	7.5	12.5	4.99	7.46	4.06	8.02	3.13	8.58	0.0	10.55
10.0	7.5_12.5	8	12n	5.33	1.48	271.0	7.02	0.1	5.65	6.65	1.1	6.92	0.22	5.16	6.23	0.55	0.81	7.5	12.5	4.42	7.1	3.69	7.97	2.95	8.84	0.0	9.98
10.0	7.5_12.5	9	12n	5.5	1.45	281.0	7.53	0.2	5.95	6.74	1.68	6.95	0.21	5.29	6.37	0.53	0.78	7.5	12.5	4.3	7.0	3.31	7.63	2.32	8.26	0.0	10.43
10.0	7.5_12.5	10	12n	6.28	1.21	289.0	9.1	0.39	6.54	7.34	3.81	7.66	1.28	6.05	6.9	0.39	0.57	7.5	12.5	5.32	7.44	4.58	7.98	3.84	8.52	0.0	11.52
10.0	7.5_12.5	11	12n	6.63	1.14	202.0	8.11	1.12	6.95	7.63	4.56	7.96	1.73	6.48	7.28	0.37	0.55	7.5	12.5	5.78	7.78	5.07	8.27	4.37	8.76	0.0	10.39
15.0	12.5_17.5	2	12n	7.81	1.52	125.0	9.17	0.2	8.3	8.96	4.83	9.03	1.33	7.7	8.68	0.44	0.65	12.5	17.5	6.8	9.25	5.9	9.82	5.0	10.39	0.0	12.21
15.0	12.5_17.5	3	12n	8.46	0.38	16.0	9.1	7.8	8.41	9.03	7.95	9.09	7.83	8.24	8.72	0.25	0.37	12.5	17.5	7.98	9.19	7.73	9.65	7.48	10.12	7.04	9.86
15.0	12.5_17.5	4	12n	8.31	1.72	170.0	10.29	0.2	8.75	9.66	4.16	9.96	1.03	8.3	9.22	0.47	0.69	12.5	17.5	7.63	9.93	6.95	10.63	6.28	11.34	0.0	13.73
15.0	12.5_17.5	5	12n	7.54	1.6	110.0	10.22	0.2	7.83	9.38	4.78	10.13	0.82	7.34	8.19	0.42	0.63	12.5	17.5	6.6	8.73	5.87	9.27	5.13	9.81	0.0	13.42
15.0	12.5_17.5	6	12n	6.76	1.46	142.0	8.4	0.2	7.04	8.18	5.18	8.33	0.2	6.44	7.54	0.56	0.83	12.5	17.5	5.54	8.29	4.64	9.04	3.74	9.79	0.0	11.32
15.0	12.5_17.5	7	12n	5.67	1.24	196.0	7.42	0.2	5.93	6.85	3.82	7.14	0.2	5.38	6.37	0.47	0.69	12.5	17.5	4.56	7.03	3.73	7.69	2.91	8.35	0.0	9.9
