depth	depth_interval	month	sea_basin	mean	std	count	max	min	median	95p	5p	99p	1p	25p	75p	mad	smad	min_depth	max_depth	flag1_lower	flag1_upper	flag2_lower	flag2_upper	flag3_lower	flag3_upper	min_range_value	max_range_value
0.0	0_2.5	1	12n	8.53	0.85	59.0	9.67	6.52	8.65	9.45	6.63	9.61	6.54	8.3	9.16	0.47	0.69	0.0	2.5	7.78	9.93	7.25	10.69	6.73	11.45	4.82	11.37
0.0	0_2.5	2	12n	8.37	1.49	201.0	10.86	2.38	8.74	10.1	5.61	10.44	3.43	7.64	9.44	0.85	1.26	0.0	2.5	5.99	10.49	4.34	11.54	2.69	12.59	0.0	13.84
0.0	0_2.5	3	12n	8.86	1.49	106.0	13.57	5.22	9.11	10.69	5.78	12.46	5.49	7.99	9.71	0.72	1.07	0.0	2.5	6.31	10.61	4.63	11.51	2.95	12.41	2.24	16.55
0.0	0_2.5	4	12n	9.52	1.49	170.0	12.37	1.44	9.64	11.22	7.35	12.11	3.69	9.06	10.27	0.61	0.9	0.0	2.5	8.19	11.21	7.32	12.16	6.45	13.1	0.0	15.35
0.0	0_2.5	5	12n	8.49	0.72	109.0	10.8	6.8	8.31	9.87	7.62	10.31	7.25	7.99	8.97	0.49	0.72	0.0	2.5	7.51	9.96	7.03	10.95	6.55	11.94	5.36	12.24
0.0	0_2.5	6	12n	7.34	0.57	161.0	10.16	5.8	7.34	8.13	6.48	9.13	6.17	7.06	7.62	0.28	0.41	0.0	2.5	6.64	8.04	6.22	8.46	5.8	8.88	4.66	11.3
0.0	0_2.5	7	12n	6.8	0.53	1402.0	8.61	4.98	6.82	7.65	5.91	8.02	5.42	6.45	7.14	0.35	0.51	0.0	2.5	5.9	7.62	5.34	8.1	4.78	8.58	3.92	9.67
0.0	0_2.5	8	12n	6.5	0.6	1506.0	8.41	4.38	6.55	7.41	5.42	7.89	5.01	6.12	6.87	0.36	0.53	0.0	2.5	5.48	7.35	4.83	7.83	4.19	8.31	3.18	9.61
0.0	0_2.5	9	12n	6.68	0.6	131.0	8.31	5.6	6.62	7.96	5.92	8.22	5.63	6.27	6.9	0.33	0.48	0.0	2.5	5.74	7.32	5.22	7.74	4.69	8.16	4.4	9.51
0.0	0_2.5	10	12n	7.13	0.49	204.0	8.8	5.62	7.13	7.9	6.32	8.07	5.87	6.85	7.48	0.32	0.47	0.0	2.5	6.43	8.01	6.01	8.53	5.59	9.06	4.64	9.78
0.0	0_2.5	11	12n	7.06	0.74	99.0	8.39	5.03	7.13	8.13	5.59	8.34	5.24	6.66	7.54	0.43	0.64	0.0	2.5	5.96	8.16	5.25	8.77	4.55	9.39	3.55	9.87
0.0	0_2.5	12	12n	7.89	0.68	106.0	9.66	5.58	7.84	9.04	6.88	9.3	6.53	7.46	8.3	0.44	0.66	0.0	2.5	6.89	8.99	6.32	9.68	5.75	10.37	4.22	11.02
5.0	2.5_7.5	1	12n	7.89	1.08	59.0	9.73	5.1	8.25	9.23	5.91	9.44	5.25	7.25	8.77	0.74	1.1	2.5	7.5	5.75	9.55	4.25	10.33	2.75	11.11	2.94	11.89
5.0	2.5_7.5	2	12n	7.73	1.97	199.0	10.34	1.4	8.33	9.9	3.56	10.14	1.92	6.45	9.26	1.12	1.66	2.5	7.5	3.63	10.66	0.81	12.05	0.0	13.44	0.0	14.28
5.0	2.5_7.5	3	12n	7.71	1.89	101.0	10.35	2.9	8.29	9.99	4.36	10.32	3.27	6.47	9.14	1.3	1.93	2.5	7.5	3.74	10.42	1.01	11.69	0.0	12.97	0.0	14.13
5.0	2.5_7.5	4	12n	8.56	2.23	168.0	12.44	0.07	9.3	10.98	4.7	12.09	1.37	7.42	10.01	1.03	1.53	2.5	7.5	4.6	11.08	1.78	12.14	0.0	13.2	0.0	16.9
5.0	2.5_7.5	5	12n	7.82	1.81	109.0	11.03	3.31	8.28	10.18	4.63	11.0	3.72	6.49	9.16	1.09	1.62	2.5	7.5	3.81	10.48	1.12	11.8	0.0	13.12	0.0	14.65
5.0	2.5_7.5	6	12n	6.65	1.44	160.0	9.38	2.44	7.1	8.35	3.69	8.69	3.2	5.63	7.79	0.9	1.33	2.5	7.5	3.42	8.83	1.22	9.86	0.0	10.9	0.0	12.26
5.0	2.5_7.5	7	12n	6.63	1.11	1172.0	8.77	0.49	6.9	7.85	4.14	8.17	2.44	6.28	7.3	0.5	0.74	2.5	7.5	5.35	7.9	4.42	8.5	3.49	9.1	0.0	10.99
5.0	2.5_7.5	8	12n	5.93	1.1	1274.0	9.29	0.07	6.04	7.34	3.91	7.83	2.27	5.37	6.71	0.67	0.99	2.5	7.5	4.36	7.72	3.36	8.72	2.36	9.72	0.0	11.49
5.0	2.5_7.5	9	12n	5.91	0.78	119.0	7.74	3.57	5.95	7.13	4.49	7.64	3.77	5.53	6.44	0.44	0.65	2.5	7.5	4.9	7.18	4.27	7.91	3.64	8.65	2.01	9.3
5.0	2.5_7.5	10	12n	6.96	0.69	202.0	8.8	3.81	7.07	7.84	5.73	8.09	4.49	6.68	7.4	0.34	0.5	2.5	7.5	6.09	7.9	5.51	8.39	4.92	8.89	2.43	10.18
5.0	2.5_7.5	11	12n	6.96	0.73	98.0	8.18	4.94	7.08	7.92	5.59	8.15	5.1	6.58	7.46	0.43	0.64	2.5	7.5	5.83	8.03	5.08	8.6	4.33	9.17	3.48	9.64
5.0	2.5_7.5	12	12n	7.64	0.86	106.0	9.59	5.46	7.66	8.8	6.13	9.2	5.7	7.05	8.3	0.64	0.95	2.5	7.5	6.14	9.26	5.22	10.22	4.3	11.18	3.74	11.31
10.0	7.5_12.5	1	12n	6.19	2.56	58.0	10.19	0.07	6.69	9.21	1.56	9.83	0.52	4.02	8.29	1.84	2.73	7.5	12.5	0.01	10.69	0.0	13.09	0.0	15.49	0.0	15.31
10.0	7.5_12.5	2	12n	6.69	3.23	176.0	10.67	0.07	8.18	9.81	0.34	10.15	0.07	4.11	9.2	1.35	2.0	7.5	12.5	0.0	10.73	0.0	12.26	0.0	13.79	0.0	17.13
10.0	7.5_12.5	3	12n	5.47	3.53	101.0	10.35	0.07	6.53	9.51	0.07	10.23	0.07	1.75	8.83	2.59	3.83	7.5	12.5	0.0	12.28	0.0	15.73	0.0	19.18	0.0	17.41
10.0	7.5_12.5	4	12n	6.33	3.92	153.0	11.68	0.07	8.25	10.43	0.07	11.59	0.07	2.31	9.5	1.72	2.55	7.5	12.5	0.0	11.38	0.0	13.25	0.0	15.12	0.0	19.52
10.0	7.5_12.5	5	12n	4.71	3.83	110.0	10.83	0.07	4.19	10.14	0.07	10.79	0.07	0.22	8.28	4.01	5.95	7.5	12.5	0.0	14.41	0.0	20.55	0.0	26.68	0.0	18.49
10.0	7.5_12.5	6	12n	4.64	3.2	153.0	8.87	0.07	6.15	8.14	0.07	8.56	0.07	0.38	7.35	1.65	2.45	7.5	12.5	0.0	9.15	0.0	10.95	0.0	12.75	0.0	15.27
10.0	7.5_12.5	7	12n	5.28	2.15	897.0	9.3	0.04	6.06	7.44	0.21	7.76	0.07	4.46	6.74	0.86	1.27	7.5	12.5	2.06	7.76	0.0	8.78	0.0	9.8	0.0	13.6
10.0	7.5_12.5	8	12n	4.59	2.14	972.0	8.03	0.0	5.11	7.07	0.1	7.5	0.07	3.78	6.18	1.15	1.71	7.5	12.5	1.78	7.78	0.0	9.39	0.0	10.99	0.0	12.31
10.0	7.5_12.5	9	12n	2.99	2.38	95.0	7.42	0.07	2.84	6.76	0.07	7.22	0.07	0.67	5.21	2.31	3.42	7.5	12.5	0.0	8.76	0.0	12.32	0.0	15.88	0.0	12.18
10.0	7.5_12.5	10	12n	6.12	1.85	186.0	8.8	0.87	6.81	7.89	1.8	8.51	0.98	5.77	7.26	0.53	0.78	7.5	12.5	4.21	7.94	2.65	8.61	1.09	9.28	0.0	12.5
10.0	7.5_12.5	11	12n	5.78	1.79	99.0	8.46	1.3	6.3	7.84	2.21	8.07	1.73	4.89	7.05	0.84	1.25	7.5	12.5	2.77	8.18	0.66	9.3	0.0	10.42	0.0	12.04
10.0	7.5_12.5	12	12n	6.68	1.99	106.0	9.31	0.07	7.22	8.8	2.31	9.2	0.92	5.89	8.16	1.04	1.54	7.5	12.5	3.89	9.57	1.9	10.98	0.0	12.39	0.0	13.29
15.0	12.5_17.5	1	12n	3.71	3.71	21.0	9.72	0.07	3.08	9.17	0.07	9.61	0.07	0.07	7.4	3.01	4.46	12.5	17.5	0.0	13.88	0.0	20.36	0.0	26.84	0.0	17.14
15.0	12.5_17.5	2	12n	6.86	3.21	91.0	10.23	0.07	8.47	9.72	0.07	9.9	0.07	5.71	9.15	1.02	1.51	12.5	17.5	1.57	10.17	0.0	11.19	0.0	12.21	0.0	16.65
15.0	12.5_17.5	3	12n	4.9	3.59	43.0	9.38	0.07	5.95	9.12	0.07	9.34	0.07	0.66	8.35	2.91	4.31	12.5	17.5	0.0	11.95	0.0	15.55	0.0	19.15	0.0	16.56
15.0	12.5_17.5	4	12n	6.62	3.74	88.0	12.04	0.07	8.38	10.28	0.07	11.55	0.07	3.29	9.3	1.25	1.86	12.5	17.5	0.0	10.68	0.0	12.06	0.0	13.44	0.0	19.52
15.0	12.5_17.5	5	12n	4.38	4.29	55.0	11.08	0.07	2.69	10.88	0.07	11.05	0.07	0.09	8.2	2.62	3.88	12.5	17.5	0.0	16.46	0.0	24.73	0.0	32.99	0.0	19.66
15.0	12.5_17.5	6	12n	4.55	3.25	71.0	8.88	0.07	6.22	8.28	0.07	8.72	0.07	0.14	7.1	1.51	2.24	12.5	17.5	0.0	8.42	0.0	9.74	0.0	11.06	0.0	15.38
15.0	12.5_17.5	7	12n	5.02	2.04	825.0	8.07	0.04	5.73	7.24	0.21	7.69	0.09	4.05	6.45	1.0	1.48	12.5	17.5	1.53	7.53	0.0	8.61	0.0	9.69	0.0	12.15
