depth	depth_interval	month	sea_basin	mean	std	count	max	min	median	95p	5p	99p	1p	25p	75p	mad	smad	min_depth	max_depth	flag1_lower	flag1_upper	flag2_lower	flag2_upper	flag3_lower	flag3_upper	min_range_value	max_range_value
5.0	2.5_7.5	4	12n	0.35	0.09	19.0	0.54	0.3	0.31	0.53	0.3	0.53	0.3	0.3	0.33	0.01	0.01	2.5	7.5	0.28	0.36	0.27	0.39	0.25	0.42	0.12	0.72
5.0	2.5_7.5	5	12n	0.4	0.27	18.0	1.44	0.3	0.31	0.64	0.3	1.28	0.3	0.3	0.35	0.01	0.01	2.5	7.5	0.28	0.41	0.27	0.47	0.25	0.53	0.0	1.98
5.0	2.5_7.5	6	12n	0.72	1.82	26.0	9.59	0.3	0.31	0.94	0.3	7.46	0.3	0.3	0.34	0.01	0.01	2.5	7.5	0.28	0.39	0.27	0.43	0.25	0.48	0.0	13.23
5.0	2.5_7.5	7	12n	9.27	45.61	32.0	258.7	0.3	0.31	12.04	0.3	182.78	0.3	0.3	0.41	0.01	0.01	2.5	7.5	0.28	0.56	0.27	0.71	0.25	0.86	0.0	349.92
5.0	2.5_7.5	8	12n	15.2	69.4	32.0	390.9	0.3	0.31	34.27	0.3	288.48	0.3	0.3	0.52	0.01	0.01	2.5	7.5	0.28	0.84	0.27	1.15	0.25	1.46	0.0	529.7
5.0	2.5_7.5	9	12n	0.32	0.04	17.0	0.47	0.3	0.3	0.36	0.3	0.44	0.3	0.3	0.31	0.0	0.0	2.5	7.5	0.3	0.32	0.3	0.34	0.3	0.36	0.22	0.55
10.0	7.5_12.5	1	12n	23.09	49.75	16.0	135.65	0.1	0.31	135.16	0.25	135.55	0.13	0.3	0.31	0.01	0.01	7.5	12.5	0.28	0.31	0.27	0.31	0.25	0.31	0.0	235.15
10.0	7.5_12.5	2	12n	43.03	87.47	24.0	264.0	0.29	0.31	255.23	0.3	262.8	0.29	0.31	20.78	0.01	0.01	7.5	12.5	0.31	51.49	0.31	82.19	0.31	112.9	0.0	438.94
10.0	7.5_12.5	3	12n	11.88	32.16	32.0	125.65	0.3	0.31	87.86	0.3	120.32	0.3	0.3	0.6	0.01	0.01	7.5	12.5	0.28	1.03	0.27	1.47	0.25	1.9	0.0	189.97
10.0	7.5_12.5	4	12n	40.79	103.99	42.0	577.45	0.3	0.34	215.27	0.3	437.05	0.3	0.31	20.58	0.04	0.06	7.5	12.5	0.26	50.94	0.22	81.3	0.17	111.66	0.0	785.43
10.0	7.5_12.5	5	12n	24.56	50.97	42.0	206.5	0.3	0.4	144.9	0.3	196.18	0.3	0.31	16.15	0.1	0.15	7.5	12.5	0.17	39.77	0.04	63.4	0.0	87.02	0.0	308.44
10.0	7.5_12.5	6	12n	41.98	77.44	68.0	387.0	0.3	5.05	190.5	0.3	365.19	0.3	0.31	45.52	4.75	7.04	7.5	12.5	0.0	106.23	0.0	166.93	0.0	227.64	0.0	541.88
10.0	7.5_12.5	7	12n	76.98	107.57	113.0	673.69	0.3	37.3	288.8	0.3	440.96	0.3	0.9	107.0	36.93	54.76	7.5	12.5	0.0	211.55	0.0	316.1	0.0	420.65	0.0	888.83
10.0	7.5_12.5	8	12n	114.65	133.69	116.0	860.01	0.3	73.11	355.32	0.3	528.15	0.3	11.69	170.92	72.69	107.77	7.5	12.5	0.0	317.64	0.0	464.35	0.0	611.06	0.0	1127.39
10.0	7.5_12.5	9	12n	109.65	132.12	81.0	681.61	0.3	65.88	317.19	0.3	595.52	0.3	0.5	167.0	65.57	97.22	7.5	12.5	0.0	318.68	0.0	470.36	0.0	622.04	0.0	945.85
10.0	7.5_12.5	10	12n	137.48	151.11	59.0	722.4	0.3	93.89	333.41	0.3	632.85	0.3	0.31	245.3	93.58	138.74	7.5	12.5	0.0	472.42	0.0	699.53	0.0	926.65	0.0	1024.62
10.0	7.5_12.5	11	12n	101.21	125.5	37.0	444.24	0.29	43.7	370.69	0.3	421.64	0.29	0.3	161.38	43.41	64.36	7.5	12.5	0.0	337.9	0.0	514.42	0.0	690.94	0.0	695.24
15.0	12.5_17.5	2	12n	227.38	361.34	23.0	1352.7	0.31	27.25	918.64	0.31	1259.49	0.31	2.15	294.5	26.94	39.94	12.5	17.5	0.0	695.38	0.0	1096.25	0.0	1497.12	0.0	2075.38
15.0	12.5_17.5	4	12n	248.8	342.53	23.0	1204.0	0.3	93.89	888.47	0.3	1134.71	0.3	1.9	298.0	93.58	138.74	12.5	17.5	0.0	604.16	0.0	910.33	0.0	1216.5	0.0	1889.06
15.0	12.5_17.5	5	12n	112.38	117.8	29.0	343.0	0.3	88.9	310.0	0.3	339.92	0.3	0.31	191.0	88.6	131.36	12.5	17.5	0.0	344.15	0.0	497.3	0.0	650.45	0.0	578.6
15.0	12.5_17.5	6	12n	185.43	251.01	41.0	1385.5	0.31	131.0	440.13	0.31	1169.3	0.31	25.5	234.0	105.0	155.67	12.5	17.5	0.0	388.5	0.0	543.0	0.0	697.5	0.0	1887.52
15.0	12.5_17.5	7	12n	240.17	230.08	67.0	1509.9	0.31	208.88	576.53	3.98	1124.53	0.4	88.2	306.87	101.88	151.05	12.5	17.5	0.0	453.86	0.0	600.84	0.0	747.82	0.0	1970.06
15.0	12.5_17.5	8	12n	300.54	237.4	68.0	1082.0	0.31	286.84	737.74	0.4	1000.93	0.31	144.38	391.73	132.75	196.81	12.5	17.5	0.0	549.07	0.0	706.4	0.0	863.74	0.0	1556.8
15.0	12.5_17.5	9	12n	354.16	289.67	50.0	1797.2	0.31	359.08	633.18	0.37	1304.77	0.31	165.12	485.25	130.75	193.86	12.5	17.5	0.0	674.5	0.0	863.76	0.0	1053.02	0.0	2376.54
15.0	12.5_17.5	10	12n	392.61	287.17	49.0	1170.2	0.3	384.0	840.16	0.3	1138.42	0.3	170.18	552.8	205.0	303.93	12.5	17.5	0.0	806.0	0.0	1059.2	0.0	1312.4	0.0	1744.54
15.0	12.5_17.5	11	12n	391.67	332.26	47.0	1092.1	0.3	352.1	863.4	0.3	1069.05	0.3	8.09	682.57	349.9	518.76	12.5	17.5	0.0	1178.28	0.0	1673.98	0.0	2169.69	0.0	1756.62
20.0	17.5_22.5	7	12n	51.57	98.96	24.0	421.0	0.31	12.93	235.9	0.35	381.67	0.31	3.1	43.48	11.08	16.43	17.5	22.5	0.0	89.3	0.0	135.13	0.0	180.96	0.0	618.92
20.0	17.5_22.5	8	12n	82.05	70.12	31.0	282.0	0.31	64.4	219.5	2.3	269.4	0.67	32.95	117.48	35.4	52.48	17.5	22.5	0.0	197.1	0.0	276.72	0.0	356.34	0.0	422.24
25.0	22.5_27.5	7	12n	93.61	115.73	43.0	500.0	0.31	48.4	319.0	2.78	479.84	1.27	17.95	133.2	39.5	58.56	22.5	27.5	0.0	260.4	0.0	387.6	0.0	514.8	0.0	731.46
25.0	22.5_27.5	8	12n	102.69	128.55	55.0	606.0	0.31	55.3	392.27	3.18	529.32	0.79	22.75	121.9	43.3	64.2	22.5	27.5	0.0	221.8	0.0	321.7	0.0	421.6	0.0	863.1
20.0	17.5_22.5	9	2	20.03	24.86	17.0	95.3	0.0	18.0	69.99	0.0	90.24	0.0	4.0	21.0	10.0	14.83	17.5	22.5	0.0	25.5	0.0	30.0	0.0	34.5	0.0	145.02
