depth	depth_interval	month	sea_basin	mean	std	count	max	min	median	95p	5p	99p	1p	25p	75p	mad	smad	min_depth	max_depth	flag1_lower	flag1_upper	flag2_lower	flag2_upper	flag3_lower	flag3_upper	min_range_value	max_range_value
0.0	0_2.5	2	18	13.75	6.22	16.0	32.9	10.1	11.65	26.82	10.18	31.68	10.12	10.65	13.22	1.25	1.85	0.0	2.5	9.15	15.58	7.65	17.93	6.15	20.29	0.0	45.34
0.0	0_2.5	4	18	10.74	1.29	16.0	14.9	9.2	10.5	12.65	9.5	14.45	9.26	10.1	10.75	0.4	0.59	0.0	2.5	9.5	11.12	8.9	11.5	8.3	11.88	6.62	17.48
0.0	0_2.5	5	18	11.32	1.26	16.0	13.6	9.4	11.4	13.38	9.62	13.55	9.45	10.5	12.12	0.8	1.19	0.0	2.5	9.15	13.2	7.8	14.28	6.45	15.36	6.88	16.12
0.0	0_2.5	6	18	10.76	0.91	16.0	13.0	9.2	10.68	12.25	9.43	12.85	9.24	10.53	11.03	0.35	0.52	0.0	2.5	10.3	11.56	10.08	12.08	9.85	12.6	7.38	14.82
0.0	0_2.5	7	18	15.14	5.95	53.0	32.6	9.1	12.2	27.94	9.54	31.04	9.13	10.6	18.6	2.2	3.26	0.0	2.5	8.2	28.2	5.8	37.8	3.4	47.4	0.0	44.5
0.0	0_2.5	8	18	13.76	5.64	33.0	27.0	8.0	11.0	25.28	8.69	26.68	8.19	9.8	16.8	1.7	2.52	0.0	2.5	8.0	25.5	6.2	34.2	4.4	42.9	0.0	38.28
5.0	2.5_7.5	2	18	12.83	3.65	16.0	24.0	10.1	11.65	18.98	10.1	23.0	10.1	10.55	13.65	1.35	2.0	2.5	7.5	8.9	16.65	7.25	19.65	5.6	22.65	2.8	31.3
5.0	2.5_7.5	4	18	10.34	1.54	16.0	14.6	6.5	10.4	11.9	8.68	14.06	6.93	9.97	10.7	0.3	0.45	2.5	7.5	9.33	11.15	8.68	11.6	8.04	12.05	3.42	17.68
5.0	2.5_7.5	5	18	11.44	1.47	16.0	14.2	9.0	11.4	13.75	9.53	14.11	9.11	10.47	12.22	0.85	1.26	2.5	7.5	9.08	13.45	7.68	14.68	6.29	15.91	6.06	17.14
5.0	2.5_7.5	6	18	10.87	0.88	16.0	12.9	9.6	10.75	12.38	9.75	12.79	9.63	10.47	11.3	0.45	0.67	2.5	7.5	10.05	12.13	9.63	12.95	9.21	13.78	7.84	14.66
5.0	2.5_7.5	7	18	14.08	4.63	53.0	29.7	8.9	12.6	24.68	9.66	28.97	9.06	10.7	16.1	2.2	3.26	2.5	7.5	7.85	21.35	5.0	26.6	2.15	31.85	0.0	38.96
5.0	2.5_7.5	8	18	12.92	4.55	33.0	26.8	8.1	11.2	22.4	8.69	26.16	8.26	9.9	15.4	1.8	2.67	2.5	7.5	7.95	21.7	6.0	28.0	4.05	34.3	0.0	35.9
10.0	7.5_12.5	7	18	15.3	5.0	29.0	29.6	10.7	13.7	26.6	10.74	29.15	10.7	13.1	16.6	0.8	1.19	7.5	12.5	12.2	20.95	11.3	25.3	10.4	29.65	0.7	39.6
10.0	7.5_12.5	8	18	14.73	4.59	17.0	26.4	10.8	13.2	25.04	10.88	26.13	10.82	11.8	15.8	1.5	2.22	7.5	12.5	9.7	19.7	7.6	23.6	5.5	27.5	1.62	35.58
60.0	55.0_65.0	2	18	10.76	1.38	16.0	14.3	9.7	10.35	14.07	9.78	14.26	9.71	9.97	10.85	0.45	0.67	55.0	65.0	9.4	11.6	8.83	12.35	8.26	13.1	6.94	17.06
60.0	55.0_65.0	4	18	10.38	1.04	16.0	13.4	8.2	10.2	11.68	9.32	13.05	8.43	9.9	10.7	0.35	0.52	55.0	65.0	9.45	11.45	9.0	12.2	8.55	12.95	6.12	15.48
60.0	55.0_65.0	5	18	10.52	1.4	16.0	14.2	8.4	10.15	13.6	9.22	14.08	8.56	10.05	10.6	0.35	0.52	55.0	65.0	9.9	11.27	9.75	11.95	9.6	12.62	5.6	17.0
60.0	55.0_65.0	6	18	10.08	0.68	16.0	10.65	7.8	10.25	10.61	9.04	10.64	8.05	10.07	10.43	0.2	0.3	55.0	65.0	9.8	10.7	9.53	10.97	9.26	11.24	6.44	12.01
60.0	55.0_65.0	9	18	12.12	3.92	16.0	20.1	9.8	10.25	20.02	9.88	20.09	9.81	10.05	11.05	0.35	0.52	55.0	65.0	9.75	12.25	9.45	13.45	9.15	14.65	1.96	27.94
80.0	75.0_85.0	4	18	10.73	1.34	16.0	14.9	8.9	10.2	12.8	9.72	14.48	9.06	10.1	11.03	0.25	0.37	75.0	85.0	9.95	12.27	9.8	13.52	9.65	14.76	6.22	17.58
80.0	75.0_85.0	5	18	10.68	1.23	16.0	14.8	9.1	10.35	12.4	9.78	14.32	9.23	10.1	10.78	0.25	0.37	75.0	85.0	9.72	11.42	9.35	12.07	8.98	12.71	6.64	17.26
80.0	75.0_85.0	6	18	10.45	0.76	16.0	11.8	8.9	10.45	11.72	9.28	11.79	8.97	10.18	10.61	0.23	0.33	75.0	85.0	9.78	10.85	9.37	11.09	8.97	11.33	7.38	13.32
0.0	0_2.5	1	20	16.23	8.95	24.0	56.6	10.8	14.3	19.46	11.07	48.09	10.85	12.65	16.27	1.9	2.82	0.0	2.5	10.18	19.22	7.7	22.18	5.22	25.13	0.0	74.5
0.0	0_2.5	2	20	20.39	13.17	30.0	65.9	11.0	14.55	47.67	11.48	63.55	11.09	13.1	20.25	1.85	2.74	0.0	2.5	10.92	28.8	8.75	37.35	6.57	45.9	0.0	92.24
0.0	0_2.5	3	20	26.44	18.35	39.0	70.5	11.0	16.0	66.23	12.12	68.98	11.15	13.6	35.58	3.1	4.6	0.0	2.5	10.0	64.95	6.4	94.32	2.8	123.69	0.0	107.2
0.0	0_2.5	4	20	21.33	12.49	46.0	63.9	11.8	16.73	48.52	12.3	62.01	11.89	14.03	21.86	3.25	4.82	0.0	2.5	9.98	29.56	5.93	37.25	1.88	44.94	0.0	88.88
0.0	0_2.5	5	20	28.24	10.36	47.0	65.6	15.3	25.5	44.72	17.59	64.27	16.31	22.1	30.7	3.7	5.49	0.0	2.5	17.0	38.5	11.9	46.3	6.8	54.1	0.0	86.32
0.0	0_2.5	6	20	19.95	5.14	41.0	39.0	11.7	19.7	26.9	13.2	34.28	12.14	15.7	22.5	3.8	5.63	0.0	2.5	9.7	26.7	3.7	30.9	0.0	35.1	1.42	49.28
0.0	0_2.5	7	20	16.46	5.2	24.0	32.7	11.6	15.25	26.62	11.8	31.39	11.65	13.05	17.68	2.25	3.34	0.0	2.5	9.75	21.32	6.45	24.97	3.15	28.62	1.2	43.1
0.0	0_2.5	8	20	17.41	10.28	43.0	68.8	11.5	13.6	35.9	11.62	55.23	11.54	12.25	17.45	1.55	2.3	0.0	2.5	10.23	23.22	8.2	29.0	6.18	34.78	0.0	89.36
0.0	0_2.5	9	20	15.86	5.69	37.0	36.1	10.9	13.9	27.32	11.32	34.84	10.94	12.6	16.7	2.0	2.96	0.0	2.5	10.65	20.9	8.7	25.1	6.75	29.3	0.0	47.48
0.0	0_2.5	10	20	17.87	5.77	42.0	35.4	10.6	16.15	28.88	11.02	33.51	10.68	13.85	20.68	2.8	4.15	0.0	2.5	10.4	27.48	6.95	34.27	3.5	41.07	0.0	46.94
0.0	0_2.5	11	20	16.81	4.49	22.0	26.8	11.8	15.3	24.66	12.51	26.36	11.95	13.1	18.62	2.35	3.48	0.0	2.5	9.8	23.6	6.5	28.58	3.2	33.56	2.82	35.78
