depth	depth_interval	month	sea_basin	mean	std	count	max	min	median	95p	5p	99p	1p	25p	75p	mad	smad	min_depth	max_depth	flag1_lower	flag1_upper	flag2_lower	flag2_upper	flag3_lower	flag3_upper	min_range_value	max_range_value
0.0	0_2.5	7	10	26.04	6.72	26.0	55.0	19.0	25.0	32.25	20.23	49.5	19.25	23.0	27.0	2.0	2.96	0.0	2.5	19.25	49.5	19.25	49.5	17.0	57.0	5.56	68.44
0.0	0_2.5	8	10	28.2	13.3	28.0	71.0	21.0	23.5	63.5	21.0	69.92	21.0	22.0	26.25	1.5	2.22	0.0	2.5	21.0	69.92	21.0	69.92	19.5	73.75	0.0	97.6
0.0	0_2.5	1	12n	29.35	8.94	42.0	51.21	18.78	27.02	45.43	19.28	49.87	18.86	22.75	32.49	4.72	7.0	0.0	2.5	18.86	49.87	18.86	49.87	14.51	56.68	0.9	69.09
0.0	0_2.5	2	12n	43.97	36.6	415.0	560.5	6.86	34.98	102.3	19.86	144.58	17.02	25.84	46.23	9.78	14.5	0.0	2.5	17.02	144.58	17.02	144.58	0.0	571.75	0.0	633.7
0.0	0_2.5	3	12n	39.1	22.9	80.0	122.0	15.92	32.74	86.88	19.28	115.68	16.43	25.26	38.65	7.22	10.71	0.0	2.5	16.43	115.68	16.43	115.68	8.44	127.91	0.0	167.8
0.0	0_2.5	4	12n	29.4	13.88	441.0	172.0	8.6	26.3	52.0	16.42	72.84	13.46	20.35	34.2	6.6	9.79	0.0	2.5	13.46	72.84	13.46	72.84	2.65	179.9	0.0	199.76
0.0	0_2.5	5	12n	23.56	6.48	249.0	63.2	12.49	22.8	35.14	16.02	42.54	13.53	19.17	26.42	3.62	5.37	0.0	2.5	13.53	42.54	13.53	42.54	8.86	66.82	0.0	76.16
0.0	0_2.5	6	12n	23.87	8.0	400.0	75.3	4.9	22.13	35.83	14.63	55.64	12.9	19.18	27.34	3.81	5.65	0.0	2.5	12.9	55.64	12.9	55.64	1.95	80.51	0.0	91.3
0.0	0_2.5	7	12n	26.45	7.7	1931.0	143.0	3.78	24.99	39.56	18.56	57.01	15.54	22.25	28.66	3.13	4.64	0.0	2.5	15.54	57.01	15.54	57.01	1.04	146.67	0.0	158.4
0.0	0_2.5	8	12n	26.46	8.16	1982.0	91.87	4.9	24.89	38.91	18.7	60.64	14.57	22.19	28.34	3.0	4.45	0.0	2.5	14.57	60.64	14.57	60.64	2.2	95.32	0.0	108.19
