depth	depth_interval	month	sea_basin	mean	std	count	max	min	median	95p	5p	99p	1p	25p	75p	mad	smad	min_depth	max_depth	flag1_lower	flag1_upper	flag2_lower	flag2_upper	flag3_lower	flag3_upper	min_range_value	max_range_value
0.0	0_2.5	2	12n	10.68	7.24	22.0	32.14	1.93	10.0	20.64	2.3	29.74	2.01	6.52	12.14	3.39	5.03	0.0	2.5	2.01	29.74	2.01	29.74	0.0	34.28	0.0	46.62
0.0	0_2.5	8	12n	0.58	0.8	21.0	2.14	0.14	0.14	2.14	0.14	2.14	0.14	0.14	0.43	0.0	0.0	0.0	2.5	0.14	2.14	0.14	2.14	0.14	2.43	0.0	3.74
0.0	0_2.5	1	12s	13.11	9.28	25.0	46.3	1.09	10.71	28.94	4.01	42.45	1.7	9.26	13.0	2.29	3.4	0.0	2.5	1.7	42.45	1.7	42.45	0.0	48.59	0.0	64.86
0.0	0_2.5	2	12s	13.31	9.09	92.0	71.48	0.16	11.59	29.12	3.95	37.64	3.07	8.23	15.72	4.0	5.92	0.0	2.5	3.07	37.64	3.07	37.64	0.0	75.61	0.0	89.66
0.0	0_2.5	4	12s	4.23	6.42	69.0	43.06	0.1	1.57	13.52	0.1	24.77	0.1	0.24	6.64	1.47	2.18	0.0	2.5	0.1	24.77	0.1	24.77	0.0	48.13	0.0	55.9
0.0	0_2.5	6	12s	0.26	0.57	98.0	4.97	0.07	0.11	0.71	0.07	2.64	0.07	0.09	0.22	0.04	0.06	0.0	2.5	0.07	2.64	0.07	2.64	0.05	5.08	0.0	6.11
0.0	0_2.5	7	12s	0.12	0.1	63.0	0.66	0.07	0.08	0.36	0.07	0.47	0.07	0.07	0.11	0.01	0.02	0.0	2.5	0.07	0.47	0.07	0.47	0.06	0.69	0.0	0.86
0.0	0_2.5	8	12s	0.16	0.14	99.0	0.84	0.07	0.1	0.42	0.07	0.78	0.07	0.08	0.16	0.03	0.04	0.0	2.5	0.07	0.78	0.07	0.78	0.05	0.9	0.0	1.12
0.0	0_2.5	10	12s	0.9	1.12	71.0	6.47	0.1	0.48	3.31	0.1	4.57	0.1	0.1	1.29	0.38	0.56	0.0	2.5	0.1	4.57	0.1	4.57	0.0	7.28	0.0	8.71
0.0	0_2.5	12	12s	7.19	3.6	136.0	22.5	0.16	7.51	13.46	1.77	15.93	1.22	4.37	8.98	2.33	3.46	0.0	2.5	1.22	15.93	1.22	15.93	0.0	23.97	0.0	29.7
10.0	7.5_12.5	2	12s	6.46	2.62	17.0	13.2	2.87	6.15	11.36	3.33	12.83	2.96	4.8	7.07	1.35	2.0	7.5	12.5	2.96	12.83	2.96	12.83	1.52	14.12	0.0	18.44
10.0	7.5_12.5	6	12s	0.21	0.26	21.0	1.22	0.07	0.11	0.56	0.07	1.09	0.07	0.1	0.15	0.04	0.06	7.5	12.5	0.07	1.09	0.07	1.09	0.06	1.26	0.0	1.74
10.0	7.5_12.5	8	12s	0.21	0.2	23.0	0.81	0.07	0.12	0.59	0.07	0.76	0.07	0.1	0.3	0.04	0.05	7.5	12.5	0.07	0.76	0.07	0.76	0.05	0.99	0.0	1.21
10.0	7.5_12.5	12	12s	4.69	2.42	27.0	10.4	0.83	3.96	9.52	1.91	10.32	1.06	3.08	5.53	1.2	1.78	7.5	12.5	1.06	10.32	1.06	10.32	0.0	11.97	0.0	15.24
15.0	12.5_17.5	2	12s	9.52	5.96	16.0	23.58	3.68	7.47	21.29	3.72	23.12	3.69	5.79	11.45	2.39	3.54	12.5	17.5	3.69	23.12	3.69	23.12	2.0	27.56	0.0	35.5
15.0	12.5_17.5	6	12s	3.47	5.36	20.0	14.22	0.07	0.18	13.59	0.1	14.1	0.08	0.11	7.5	0.1	0.14	12.5	17.5	0.08	14.1	0.08	14.1	0.0	21.54	0.0	24.94
15.0	12.5_17.5	8	12s	0.29	0.43	16.0	1.37	0.07	0.12	1.36	0.07	1.37	0.07	0.09	0.2	0.04	0.07	12.5	17.5	0.07	1.37	0.07	1.37	0.04	1.45	0.0	2.23
15.0	12.5_17.5	12	12s	4.43	4.65	23.0	20.08	0.85	3.14	15.85	1.5	19.37	0.99	2.17	3.92	0.92	1.36	12.5	17.5	0.99	19.37	0.99	19.37	0.0	20.86	0.0	29.38
20.0	17.5_22.5	2	12s	6.13	1.11	18.0	8.3	4.26	6.18	7.55	4.37	8.15	4.28	5.43	6.89	0.78	1.16	17.5	22.5	4.28	8.15	4.28	8.15	3.51	9.01	2.04	10.52
20.0	17.5_22.5	4	12s	5.33	3.16	16.0	11.61	0.1	4.79	10.22	0.55	11.33	0.19	3.98	7.33	2.1	3.12	17.5	22.5	0.19	11.33	0.19	11.33	0.0	14.15	0.0	17.93
20.0	17.5_22.5	6	12s	1.75	2.57	27.0	9.28	0.07	0.52	7.89	0.08	9.06	0.07	0.11	2.1	0.45	0.67	17.5	22.5	0.07	9.06	0.07	9.06	0.0	10.86	0.0	14.42
20.0	17.5_22.5	8	12s	3.32	4.61	25.0	20.06	0.07	1.59	11.86	0.17	18.2	0.09	0.79	3.49	1.0	1.48	17.5	22.5	0.09	18.2	0.09	18.2	0.0	21.96	0.0	29.28
20.0	17.5_22.5	10	12s	5.59	4.53	18.0	14.18	0.1	3.8	13.47	0.71	14.04	0.22	2.63	8.65	1.46	2.17	17.5	22.5	0.22	14.04	0.22	14.04	0.0	19.03	0.0	23.24
20.0	17.5_22.5	12	12s	4.58	2.67	23.0	15.09	0.34	4.23	6.93	2.14	13.33	0.72	3.35	5.13	0.94	1.39	17.5	22.5	0.72	13.33	0.72	13.33	0.0	15.99	0.0	20.43
25.0	22.5_27.5	2	12s	8.05	3.53	18.0	14.27	0.67	8.46	12.61	1.5	13.94	0.84	6.36	10.3	2.19	3.25	22.5	27.5	0.84	13.94	0.84	13.94	0.0	16.11	0.0	21.33
25.0	22.5_27.5	4	12s	7.41	5.95	17.0	20.46	0.1	7.88	15.63	0.1	19.49	0.1	2.13	11.69	5.26	7.8	22.5	27.5	0.1	19.49	0.1	19.49	0.0	24.27	0.0	32.36
25.0	22.5_27.5	6	12s	2.36	4.05	28.0	14.31	0.07	0.23	12.45	0.08	14.03	0.07	0.1	3.23	0.14	0.21	22.5	27.5	0.07	14.03	0.07	14.03	0.0	17.31	0.0	22.41
