depth	depth_interval	month	sea_basin	mean	std	count	max	min	median	95p	5p	99p	1p	25p	75p	mad	smad	min_depth	max_depth	flag1_lower	flag1_upper	flag2_lower	flag2_upper	flag3_lower	flag3_upper	min_range_value	max_range_value
0.0	0_2.5	2	12n	0.29	0.14	22.0	0.64	0.1	0.28	0.51	0.11	0.61	0.1	0.18	0.34	0.07	0.11	0.0	2.5	0.03	0.43	0.0	0.52	0.0	0.61	0.0	0.92
0.0	0_2.5	8	12n	0.03	0.04	21.0	0.22	0.02	0.02	0.03	0.02	0.18	0.02	0.02	0.02	0.0	0.0	0.0	2.5	0.02	0.02	0.02	0.02	0.02	0.02	0.0	0.3
0.0	0_2.5	1	12s	0.36	0.25	28.0	1.09	0.07	0.29	0.89	0.11	1.05	0.08	0.2	0.45	0.14	0.2	0.0	2.5	0.07	0.69	0.0	0.93	0.0	1.17	0.0	1.59
0.0	0_2.5	2	12s	0.36	0.24	94.0	1.18	0.02	0.27	0.91	0.11	1.06	0.08	0.2	0.41	0.1	0.14	0.0	2.5	0.1	0.62	0.0	0.83	0.0	1.04	0.0	1.66
0.0	0_2.5	4	12s	0.15	0.16	99.0	0.82	0.02	0.09	0.47	0.02	0.74	0.02	0.06	0.17	0.05	0.07	0.0	2.5	0.02	0.29	0.0	0.41	0.0	0.53	0.0	1.14
0.0	0_2.5	6	12s	0.08	0.04	160.0	0.21	0.02	0.07	0.14	0.02	0.2	0.02	0.06	0.09	0.02	0.03	0.0	2.5	0.04	0.12	0.03	0.15	0.01	0.18	0.0	0.29
0.0	0_2.5	7	12s	0.1	0.04	74.0	0.24	0.02	0.1	0.17	0.07	0.2	0.02	0.07	0.12	0.03	0.04	0.0	2.5	0.03	0.15	0.0	0.18	0.0	0.21	0.0	0.32
0.0	0_2.5	8	12s	0.1	0.1	166.0	0.93	0.02	0.08	0.2	0.02	0.6	0.02	0.06	0.12	0.03	0.04	0.0	2.5	0.03	0.18	-0.0	0.24	0.0	0.3	0.0	1.13
0.0	0_2.5	10	12s	0.12	0.06	87.0	0.35	0.02	0.11	0.23	0.03	0.28	0.02	0.07	0.15	0.04	0.06	0.0	2.5	0.01	0.21	0.0	0.27	0.0	0.33	0.0	0.47
0.0	0_2.5	12	12s	0.34	0.2	136.0	1.06	0.02	0.29	0.71	0.11	0.94	0.06	0.19	0.43	0.12	0.17	0.0	2.5	0.04	0.64	0.0	0.85	0.0	1.06	0.0	1.46
10.0	7.5_12.5	2	12s	0.5	0.26	17.0	0.99	0.07	0.44	0.9	0.14	0.97	0.09	0.33	0.66	0.18	0.27	7.5	12.5	0.17	0.99	0.0	1.32	0.0	1.65	0.0	1.51
10.0	7.5_12.5	4	12s	0.15	0.35	16.0	1.46	0.02	0.06	0.48	0.02	1.26	0.02	0.03	0.08	0.03	0.04	7.5	12.5	0.0	0.11	0.0	0.14	0.0	0.17	0.0	2.16
10.0	7.5_12.5	6	12s	0.08	0.05	33.0	0.23	0.02	0.08	0.15	0.02	0.21	0.02	0.06	0.1	0.02	0.03	7.5	12.5	0.03	0.13	-0.0	0.16	0.0	0.19	0.0	0.33
10.0	7.5_12.5	8	12s	0.13	0.12	31.0	0.67	0.02	0.09	0.31	0.02	0.58	0.02	0.07	0.14	0.04	0.06	7.5	12.5	0.04	0.22	0.01	0.29	0.0	0.37	0.0	0.91
10.0	7.5_12.5	10	12s	0.13	0.07	17.0	0.3	0.03	0.11	0.24	0.05	0.29	0.04	0.08	0.19	0.03	0.04	7.5	12.5	0.04	0.31	0.0	0.43	0.0	0.55	0.0	0.44
10.0	7.5_12.5	12	12s	0.4	0.17	27.0	0.76	0.14	0.36	0.67	0.15	0.74	0.14	0.27	0.52	0.13	0.2	7.5	12.5	0.14	0.76	0.0	1.0	0.0	1.24	0.0	1.1
