depth	depth_interval	month	sea_basin	mean	std	count	max	min	median	95p	5p	99p	1p	25p	75p	mad	smad	min_depth	max_depth	flag1_lower	flag1_upper	flag2_lower	flag2_upper	flag3_lower	flag3_upper	min_range_value	max_range_value
0.0	0_2.5	7	10	0.09	0.15	26.0	0.76	0.01	0.03	0.3	0.02	0.66	0.01	0.02	0.1	0.01	0.01	0.0	2.5	0.01	0.2	0.0	0.31	0.0	0.42	0.0	1.06
0.0	0_2.5	8	10	0.04	0.04	28.0	0.17	0.01	0.02	0.12	0.01	0.16	0.01	0.01	0.05	0.01	0.01	0.0	2.5	-0.0	0.1	0.0	0.14	0.0	0.18	0.0	0.25
0.0	0_2.5	1	12n	10.47	6.08	16.0	22.13	2.62	8.51	22.04	3.43	22.11	2.78	5.81	13.95	4.0	5.92	0.0	2.5	1.76	22.11	0.0	30.27	0.0	38.43	0.0	34.29
0.0	0_2.5	2	12n	16.64	14.7	380.0	96.1	0.14	13.56	46.59	2.96	75.25	0.7	7.19	19.51	6.33	9.39	0.0	2.5	0.0	28.44	0.0	37.36	0.0	46.29	0.0	125.5
0.0	0_2.5	3	12n	13.52	12.89	65.0	69.5	0.5	10.7	35.68	0.73	60.41	0.5	4.51	16.14	5.81	8.61	0.0	2.5	0.0	24.3	0.0	32.46	0.0	40.62	0.0	95.28
0.0	0_2.5	4	12n	4.95	8.24	392.0	72.2	0.06	0.7	19.99	0.07	35.05	0.07	0.36	6.44	0.63	0.93	0.0	2.5	0.0	15.05	0.0	23.66	0.0	32.27	0.0	88.68
0.0	0_2.5	5	12n	1.39	3.17	267.0	18.78	0.03	0.36	8.77	0.07	15.22	0.04	0.14	0.5	0.2	0.3	0.0	2.5	0.0	0.71	0.0	0.92	0.0	1.13	0.0	25.12
0.0	0_2.5	6	12n	0.87	1.67	348.0	11.28	0.03	0.36	4.66	0.07	9.08	0.07	0.16	0.7	0.22	0.33	0.0	2.5	0.0	1.21	0.0	1.72	0.0	2.23	0.0	14.62
0.0	0_2.5	7	12n	0.19	0.62	1858.0	12.85	0.02	0.07	0.5	0.02	2.5	0.02	0.04	0.13	0.03	0.04	0.0	2.5	0.0	0.22	0.0	0.31	0.0	0.4	0.0	14.09
0.0	0_2.5	8	12n	0.21	0.94	1890.0	35.7	0.01	0.08	0.7	0.02	1.91	0.02	0.05	0.17	0.04	0.06	0.0	2.5	0.01	0.31	0.0	0.44	0.0	0.58	0.0	37.58
0.0	0_2.5	9	12n	0.61	1.69	347.0	20.51	0.02	0.36	1.98	0.04	8.29	0.02	0.14	0.4	0.2	0.3	0.0	2.5	0.0	0.46	0.0	0.52	0.0	0.58	0.0	23.89
0.0	0_2.5	10	12n	1.71	2.36	477.0	17.8	0.07	0.79	5.94	0.13	11.12	0.07	0.36	2.07	0.53	0.79	0.0	2.5	0.0	3.99	0.0	5.91	0.0	7.83	0.0	22.52
0.0	0_2.5	11	12n	4.54	4.13	226.0	27.34	0.14	3.44	11.42	0.57	23.35	0.36	2.28	5.43	1.41	2.08	0.0	2.5	0.54	8.41	0.0	11.4	0.0	14.38	0.0	35.6
