depth	depth_interval	month	sea_basin	mean	std	count	max	min	median	95p	5p	99p	1p	25p	75p	mad	smad	min_depth	max_depth	flag1_lower	flag1_upper	flag2_lower	flag2_upper	flag3_lower	flag3_upper	min_range_value	max_range_value
0.0	0_2.5	7	10	0.13	0.13	26.0	0.53	0.02	0.07	0.42	0.03	0.52	0.02	0.05	0.16	0.03	0.04	0.0	2.5	0.02	0.3	0.0	0.43	0.0	0.56	0.0	0.79
0.0	0_2.5	8	10	0.09	0.09	28.0	0.32	0.01	0.05	0.3	0.02	0.32	0.01	0.02	0.1	0.03	0.04	0.0	2.5	0.0	0.18	0.0	0.25	0.0	0.32	0.0	0.5
0.0	0_2.5	2	12n	0.7	0.3	397.0	3.62	0.05	0.71	1.1	0.19	1.31	0.09	0.55	0.86	0.16	0.24	0.0	2.5	0.31	1.08	0.07	1.31	0.0	1.54	0.0	4.22
0.0	0_2.5	3	12n	0.49	0.27	65.0	1.57	0.1	0.47	0.97	0.16	1.26	0.12	0.29	0.61	0.15	0.22	0.0	2.5	0.02	0.82	0.0	1.03	0.0	1.24	0.0	2.11
0.0	0_2.5	4	12n	0.12	0.1	396.0	0.87	0.01	0.1	0.26	0.03	0.55	0.02	0.04	0.17	0.06	0.09	0.0	2.5	0.0	0.28	0.0	0.38	0.0	0.49	0.0	1.07
0.0	0_2.5	5	12n	0.07	0.05	243.0	0.31	0.01	0.04	0.19	0.02	0.24	0.01	0.03	0.1	0.01	0.02	0.0	2.5	0.01	0.19	-0.0	0.28	0.0	0.37	0.0	0.41
0.0	0_2.5	6	12n	0.11	0.09	321.0	0.68	0.01	0.1	0.23	0.03	0.3	0.01	0.03	0.19	0.07	0.1	0.0	2.5	0.0	0.32	0.0	0.46	0.0	0.6	0.0	0.86
0.0	0_2.5	7	12n	0.09	0.11	1852.0	1.65	0.0	0.04	0.3	0.02	0.41	0.01	0.02	0.12	0.02	0.03	0.0	2.5	0.0	0.24	0.0	0.36	0.0	0.48	0.0	1.87
0.0	0_2.5	8	12n	0.13	0.15	1905.0	1.42	0.0	0.08	0.42	0.02	0.66	0.01	0.03	0.19	0.06	0.09	0.0	2.5	0.0	0.36	0.0	0.52	0.0	0.68	0.0	1.72
0.0	0_2.5	9	12n	0.12	0.17	340.0	2.74	0.01	0.1	0.29	0.03	0.39	0.01	0.05	0.15	0.05	0.07	0.0	2.5	0.0	0.22	0.0	0.3	0.0	0.37	0.0	3.08
0.0	0_2.5	10	12n	0.3	0.19	471.0	1.52	0.03	0.27	0.65	0.06	0.91	0.03	0.16	0.41	0.12	0.18	0.0	2.5	0.0	0.62	0.0	0.83	0.0	1.04	0.0	1.9
0.0	0_2.5	11	12n	0.5	0.21	226.0	1.61	0.06	0.48	0.85	0.2	1.2	0.16	0.36	0.58	0.12	0.18	0.0	2.5	0.18	0.73	0.0	0.88	0.0	1.03	0.0	2.03
0.0	0_2.5	12	12n	0.8	0.3	73.0	2.0	0.19	0.81	1.23	0.32	1.73	0.23	0.61	0.9	0.13	0.19	0.0	2.5	0.31	1.03	0.01	1.17	0.0	1.3	0.0	2.6
