depth	depth_interval	month	sea_basin	mean	std	count	max	min	95p	5p	min_depth	max_depth	min_range_value	max_range_value
0.0	0_2.5	2	18	7.45	0.41	22.0	7.9	6.4			0.0	2.5	5.58	8.72
0.0	0_2.5	7	18	7.92	0.24	18.0	8.38	7.6			0.0	2.5	7.12	8.86
0.0	0_2.5	8	18	7.8	0.29	29.0	8.29	7.2			0.0	2.5	6.62	8.87
0.0	0_2.5	11	18	7.49	0.26	22.0	7.9	7.1			0.0	2.5	6.58	8.42
5.0	2.5_7.5	8	18	7.84	0.24	25.0	8.21	7.3			2.5	7.5	6.82	8.69
5.0	2.5_7.5	11	18	7.68	0.19	17.0	7.8	7.2			2.5	7.5	6.82	8.18
0.0	0_2.5	3	22	7.01	0.2	35.0	7.3	6.5			0.0	2.5	6.1	7.7
0.0	0_2.5	6	22	7.26	0.22	42.0	7.6	6.75			0.0	2.5	6.31	8.04
0.0	0_2.5	7	22	7.42	0.24	27.0	7.99	7.1			0.0	2.5	6.62	8.47
0.0	0_2.5	8	22	7.38	0.25	54.0	8.05	6.7			0.0	2.5	6.2	8.55
0.0	0_2.5	9	22	7.3	0.29	41.0	7.67	6.4			0.0	2.5	5.82	8.25
5.0	2.5_7.5	3	22	7.17	0.2	32.0	7.6	6.89			2.5	7.5	6.49	8.0
5.0	2.5_7.5	6	22	7.34	0.2	38.0	7.7	6.9			2.5	7.5	6.5	8.1
5.0	2.5_7.5	7	22	7.43	0.23	22.0	7.82	7.1			2.5	7.5	6.64	8.28
5.0	2.5_7.5	8	22	7.38	0.26	50.0	7.8	6.6			2.5	7.5	6.08	8.32
5.0	2.5_7.5	9	22	7.39	0.25	34.0	7.7	6.6			2.5	7.5	6.1	8.2
10.0	7.5_12.5	6	22	7.38	0.2	18.0	7.7	7.1			7.5	12.5	6.7	8.1
10.0	7.5_12.5	8	22	7.36	0.27	23.0	7.7	6.7			7.5	12.5	6.16	8.24
10.0	7.5_12.5	9	22	7.41	0.25	16.0	7.7	6.8			7.5	12.5	6.3	8.2
0.0	0_2.5	1	Bornholm Basin	7.86	0.04	23.0	7.99	7.78			0.0	2.5	7.7	8.07
0.0	0_2.5	2	Bornholm Basin	7.87	0.07	17.0	8.13	7.82			0.0	2.5	7.68	8.27
0.0	0_2.5	3	Bornholm Basin	7.89	0.05	30.0	8.03	7.81			0.0	2.5	7.71	8.13
0.0	0_2.5	4	Bornholm Basin	8.07	0.09	28.0	8.22	7.86			0.0	2.5	7.68	8.4
0.0	0_2.5	5	Bornholm Basin	8.23	0.17	23.0	8.68	8.0			0.0	2.5	7.66	9.02
0.0	0_2.5	6	Bornholm Basin	8.22	0.1	21.0	8.51	8.11			0.0	2.5	7.91	8.71
0.0	0_2.5	7	Bornholm Basin	8.31	0.11	24.0	8.57	8.08			0.0	2.5	7.86	8.79
0.0	0_2.5	8	Bornholm Basin	8.29	0.11	23.0	8.53	8.16			0.0	2.5	7.94	8.75
0.0	0_2.5	9	Bornholm Basin	8.09	0.08	24.0	8.23	7.92			0.0	2.5	7.76	8.39
0.0	0_2.5	10	Bornholm Basin	8.03	0.11	23.0	8.39	7.87			0.0	2.5	7.65	8.61
0.0	0_2.5	11	Bornholm Basin	7.94	0.06	27.0	8.09	7.86			0.0	2.5	7.74	8.21
0.0	0_2.5	12	Bornholm Basin	7.86	0.06	22.0	7.96	7.72			0.0	2.5	7.6	8.08
5.0	2.5_7.5	1	Bornholm Basin	7.86	0.05	22.0	7.99	7.78			2.5	7.5	7.68	8.09
5.0	2.5_7.5	2	Bornholm Basin	7.86	0.03	18.0	7.91	7.79			2.5	7.5	7.73	7.97
5.0	2.5_7.5	3	Bornholm Basin	7.89	0.05	30.0	8.02	7.8			2.5	7.5	7.7	8.12
5.0	2.5_7.5	4	Bornholm Basin	8.07	0.09	28.0	8.23	7.87			2.5	7.5	7.69	8.41
5.0	2.5_7.5	5	Bornholm Basin	8.24	0.17	23.0	8.67	8.0			2.5	7.5	7.66	9.01
5.0	2.5_7.5	6	Bornholm Basin	8.22	0.1	21.0	8.51	8.11			2.5	7.5	7.91	8.71
5.0	2.5_7.5	7	Bornholm Basin	8.32	0.1	25.0	8.57	8.19			2.5	7.5	7.99	8.77
5.0	2.5_7.5	8	Bornholm Basin	8.29	0.11	23.0	8.53	8.15			2.5	7.5	7.93	8.75
5.0	2.5_7.5	9	Bornholm Basin	8.09	0.08	24.0	8.22	7.92			2.5	7.5	7.76	8.38
5.0	2.5_7.5	10	Bornholm Basin	8.02	0.08	23.0	8.2	7.89			2.5	7.5	7.73	8.36
5.0	2.5_7.5	11	Bornholm Basin	7.94	0.06	27.0	8.06	7.86			2.5	7.5	7.74	8.18
5.0	2.5_7.5	12	Bornholm Basin	7.86	0.05	22.0	7.95	7.71			2.5	7.5	7.61	8.05
10.0	7.5_12.5	1	Bornholm Basin	7.86	0.04	23.0	7.98	7.78			7.5	12.5	7.7	8.06
10.0	7.5_12.5	2	Bornholm Basin	7.85	0.02	18.0	7.88	7.81			7.5	12.5	7.77	7.92
10.0	7.5_12.5	3	Bornholm Basin	7.89	0.05	30.0	8.0	7.78			7.5	12.5	7.68	8.1
10.0	7.5_12.5	4	Bornholm Basin	8.07	0.09	28.0	8.26	7.87			7.5	12.5	7.69	8.44
10.0	7.5_12.5	5	Bornholm Basin	8.23	0.17	23.0	8.67	7.99			7.5	12.5	7.65	9.01
10.0	7.5_12.5	6	Bornholm Basin	8.21	0.1	21.0	8.5	8.1			7.5	12.5	7.9	8.7
10.0	7.5_12.5	7	Bornholm Basin	8.29	0.1	25.0	8.51	8.09			7.5	12.5	7.89	8.71
10.0	7.5_12.5	8	Bornholm Basin	8.27	0.11	23.0	8.5	8.11			7.5	12.5	7.89	8.72
10.0	7.5_12.5	9	Bornholm Basin	8.08	0.08	24.0	8.22	7.92			7.5	12.5	7.76	8.38
10.0	7.5_12.5	10	Bornholm Basin	8.0	0.07	23.0	8.16	7.91			7.5	12.5	7.77	8.3
10.0	7.5_12.5	11	Bornholm Basin	7.94	0.06	27.0	8.06	7.85			7.5	12.5	7.73	8.18
10.0	7.5_12.5	12	Bornholm Basin	7.86	0.05	22.0	7.95	7.72			7.5	12.5	7.62	8.05
15.0	12.5_17.5	1	Bornholm Basin	7.86	0.04	23.0	7.98	7.77			12.5	17.5	7.69	8.06
15.0	12.5_17.5	2	Bornholm Basin	7.85	0.02	18.0	7.88	7.79			12.5	17.5	7.75	7.92
15.0	12.5_17.5	3	Bornholm Basin	7.88	0.04	28.0	7.97	7.78			12.5	17.5	7.7	8.05
15.0	12.5_17.5	4	Bornholm Basin	8.05	0.08	26.0	8.21	7.87			12.5	17.5	7.71	8.37
15.0	12.5_17.5	5	Bornholm Basin	8.19	0.17	22.0	8.63	7.98			12.5	17.5	7.64	8.97
15.0	12.5_17.5	6	Bornholm Basin	8.2	0.1	21.0	8.49	8.09			12.5	17.5	7.89	8.69
15.0	12.5_17.5	7	Bornholm Basin	8.2	0.08	25.0	8.31	8.03			12.5	17.5	7.87	8.47
15.0	12.5_17.5	8	Bornholm Basin	8.16	0.09	23.0	8.3	7.98			12.5	17.5	7.8	8.48
15.0	12.5_17.5	9	Bornholm Basin	8.07	0.07	21.0	8.17	7.92			12.5	17.5	7.78	8.31
15.0	12.5_17.5	10	Bornholm Basin	8.0	0.06	23.0	8.15	7.91			12.5	17.5	7.79	8.27
15.0	12.5_17.5	11	Bornholm Basin	7.93	0.06	25.0	8.05	7.85			12.5	17.5	7.73	8.17
15.0	12.5_17.5	12	Bornholm Basin	7.86	0.05	22.0	7.94	7.72			12.5	17.5	7.62	8.04
20.0	17.5_25.0	1	Bornholm Basin	7.86	0.04	23.0	7.98	7.77			17.5	25.0	7.69	8.06
20.0	17.5_25.0	2	Bornholm Basin	7.85	0.03	18.0	7.9	7.8			17.5	25.0	7.74	7.96
20.0	17.5_25.0	3	Bornholm Basin	7.88	0.04	28.0	7.97	7.77			17.5	25.0	7.69	8.05
20.0	17.5_25.0	4	Bornholm Basin	8.05	0.08	26.0	8.21	7.87			17.5	25.0	7.71	8.37
20.0	17.5_25.0	5	Bornholm Basin	8.13	0.15	22.0	8.56	7.91			17.5	25.0	7.61	8.86
20.0	17.5_25.0	6	Bornholm Basin	8.11	0.11	21.0	8.37	7.93			17.5	25.0	7.71	8.59
20.0	17.5_25.0	7	Bornholm Basin	8.08	0.13	25.0	8.29	7.69			17.5	25.0	7.43	8.55
20.0	17.5_25.0	8	Bornholm Basin	8.03	0.14	22.0	8.22	7.77			17.5	25.0	7.49	8.5
