depth	depth_interval	month	sea_basin	mean	std	count	max	min	median	95p	5p	99p	1p	25p	75p	mad	smad	min_depth	max_depth	flag1_lower	flag1_upper	flag2_lower	flag2_upper	flag3_lower	flag3_upper	min_range_value	max_range_value
0.0	0_2.5	7	10	0.74	0.17	26.0	1.21	0.48	0.71	1.05	0.51	1.18	0.48	0.63	0.84	0.1	0.15	0.0	2.5	0.48	1.18	0.48	1.18	0.4	1.34	0.14	1.55
0.0	0_2.5	8	10	0.67	0.21	28.0	1.2	0.4	0.6	1.12	0.44	1.18	0.41	0.56	0.79	0.09	0.14	0.0	2.5	0.41	1.18	0.41	1.18	0.36	1.39	0.0	1.62
0.0	0_2.5	1	12n	0.99	0.23	42.0	1.59	0.56	0.94	1.47	0.69	1.55	0.59	0.84	1.13	0.15	0.22	0.0	2.5	0.59	1.55	0.59	1.55	0.46	1.78	0.1	2.05
0.0	0_2.5	2	12n	1.17	0.46	422.0	4.52	0.48	1.07	2.06	0.71	2.77	0.64	0.9	1.29	0.19	0.28	0.0	2.5	0.64	2.77	0.64	2.77	0.31	4.74	0.0	5.44
0.0	0_2.5	3	12n	1.01	0.44	82.0	3.16	0.52	0.91	1.68	0.59	2.55	0.54	0.73	1.05	0.17	0.24	0.0	2.5	0.54	2.55	0.54	2.55	0.34	3.3	0.0	4.04
0.0	0_2.5	4	12n	0.69	0.25	444.0	2.23	0.29	0.65	1.12	0.41	1.52	0.33	0.52	0.81	0.14	0.21	0.0	2.5	0.33	1.52	0.33	1.52	0.16	2.39	0.0	2.73
0.0	0_2.5	5	12n	0.48	0.18	242.0	1.45	0.2	0.43	0.85	0.29	1.28	0.24	0.39	0.52	0.07	0.1	0.0	2.5	0.24	1.28	0.24	1.28	0.16	1.54	0.0	1.81
0.0	0_2.5	6	12n	0.58	0.29	399.0	3.87	0.26	0.5	1.06	0.32	1.45	0.29	0.41	0.65	0.11	0.16	0.0	2.5	0.29	1.45	0.29	1.45	0.17	4.02	0.0	4.45
0.0	0_2.5	7	12n	0.74	0.3	1926.0	2.88	0.26	0.68	1.27	0.42	1.93	0.36	0.53	0.85	0.16	0.23	0.0	2.5	0.36	1.93	0.36	1.93	0.11	3.05	0.0	3.48
0.0	0_2.5	8	12n	0.81	0.38	1990.0	3.94	0.19	0.71	1.5	0.45	2.41	0.39	0.56	0.91	0.16	0.24	0.0	2.5	0.39	2.41	0.39	2.41	0.04	4.14	0.0	4.7
0.0	0_2.5	9	12n	0.72	0.43	395.0	4.51	0.32	0.61	1.52	0.43	2.38	0.35	0.52	0.74	0.1	0.15	0.0	2.5	0.35	2.38	0.35	2.38	0.23	4.64	0.0	5.37
0.0	0_2.5	10	12n	0.84	0.33	523.0	4.44	0.41	0.77	1.43	0.5	1.74	0.43	0.65	0.97	0.15	0.23	0.0	2.5	0.43	1.74	0.43	1.74	0.29	4.64	0.0	5.1
0.0	0_2.5	11	12n	0.94	0.29	264.0	2.65	0.48	0.87	1.48	0.61	2.0	0.55	0.76	1.05	0.13	0.19	0.0	2.5	0.55	2.0	0.55	2.0	0.37	2.83	0.0	3.23
