depth	depth_interval	month	sea_basin	mean	std	count	max	min	median	95p	5p	99p	1p	25p	75p	mad	smad	min_depth	max_depth	flag1_lower	flag1_upper	flag2_lower	flag2_upper	flag3_lower	flag3_upper	min_range_value	max_range_value
0.0	0_2.5	7	10	6.82	0.46	26.0	7.42	5.89	6.84	7.41	6.06	7.42	5.92	6.46	7.23	0.41	0.61	0.0	2.5	5.92	7.42	5.92	7.42	5.51	7.81	4.97	8.34
0.0	0_2.5	8	10	6.78	0.46	28.0	8.11	6.16	6.67	7.75	6.26	8.07	6.18	6.48	6.95	0.23	0.35	0.0	2.5	6.18	8.07	6.18	8.07	5.97	8.39	5.24	9.03
0.0	0_2.5	1	12n	5.04	0.84	32.0	6.8	2.67	5.21	6.01	3.54	6.63	2.81	4.89	5.53	0.33	0.48	0.0	2.5	2.81	6.63	2.81	6.63	2.35	7.12	0.99	8.48
0.0	0_2.5	2	12n	4.5	1.13	255.0	6.6	2.0	4.61	6.04	2.41	6.4	2.0	3.61	5.51	0.92	1.36	0.0	2.5	2.0	6.4	2.0	6.4	1.0	7.5	0.0	8.86
0.0	0_2.5	3	12n	4.89	0.88	49.0	6.9	2.75	5.01	6.1	3.16	6.7	2.88	4.45	5.43	0.49	0.73	0.0	2.5	2.88	6.7	2.88	6.7	2.19	7.32	0.99	8.66
0.0	0_2.5	4	12n	4.57	0.94	323.0	7.31	2.26	4.65	5.8	2.96	6.4	2.51	3.89	5.29	0.71	1.05	0.0	2.5	2.51	6.4	2.51	6.4	1.5	7.95	0.38	9.19
0.0	0_2.5	5	12n	4.36	0.9	261.0	6.59	2.0	4.5	5.55	2.73	5.68	2.09	3.72	5.09	0.65	0.96	0.0	2.5	2.09	5.68	2.09	5.68	1.22	7.18	0.2	8.39
0.0	0_2.5	6	12n	4.72	0.8	279.0	6.96	2.27	4.8	5.8	3.25	6.32	2.48	4.22	5.3	0.54	0.8	0.0	2.5	2.48	6.32	2.48	6.32	1.69	7.46	0.67	8.56
0.0	0_2.5	7	12n	5.12	0.8	556.0	6.72	2.0	5.2	6.26	3.65	6.63	2.92	4.67	5.64	0.49	0.73	0.0	2.5	2.92	6.63	2.92	6.63	1.47	7.16	0.4	8.32
0.0	0_2.5	8	12n	5.23	0.74	547.0	6.84	2.0	5.26	6.41	4.0	6.76	3.04	4.84	5.74	0.44	0.65	0.0	2.5	3.04	6.76	3.04	6.76	1.58	7.32	0.52	8.32
0.0	0_2.5	9	12n	4.95	0.48	321.0	5.84	3.23	5.04	5.56	4.03	5.65	3.58	4.67	5.31	0.31	0.46	0.0	2.5	3.58	5.65	3.58	5.65	2.86	6.11	2.27	6.8
0.0	0_2.5	10	12n	5.27	0.58	362.0	6.9	3.29	5.3	6.22	4.31	6.74	3.64	4.93	5.6	0.33	0.49	0.0	2.5	3.64	6.74	3.64	6.74	2.92	7.2	2.13	8.06
0.0	0_2.5	11	12n	5.34	0.53	242.0	6.23	3.49	5.43	6.07	4.37	6.19	4.05	5.05	5.74	0.33	0.49	0.0	2.5	4.05	6.19	4.05	6.19	3.11	6.54	2.43	7.29
0.0	0_2.5	12	12n	5.63	0.79	73.0	6.9	3.2	5.71	6.7	4.14	6.83	3.31	5.2	6.2	0.49	0.72	0.0	2.5	3.31	6.83	3.31	6.83	2.69	7.39	1.62	8.48
5.0	2.5_7.5	2	12n	4.96	0.87	215.0	6.84	2.65	5.17	6.04	3.28	6.4	2.96	4.42	5.6	0.53	0.79	2.5	7.5	2.96	6.4	2.96	6.4	1.9	7.27	0.91	8.58
5.0	2.5_7.5	3	12n	4.51	0.98	16.0	5.92	3.11	4.69	5.75	3.26	5.89	3.14	3.55	5.41	0.81	1.2	2.5	7.5	3.14	5.89	3.14	5.89	1.97	6.64	1.15	7.88
5.0	2.5_7.5	4	12n	4.64	0.87	261.0	6.03	2.43	4.83	5.78	3.06	5.97	2.61	3.96	5.32	0.64	0.95	2.5	7.5	2.61	5.97	2.61	5.97	1.56	6.52	0.69	7.77
5.0	2.5_7.5	5	12n	4.53	0.84	159.0	5.7	2.3	4.63	5.58	2.98	5.68	2.43	4.0	5.25	0.63	0.93	2.5	7.5	2.43	5.68	2.43	5.68	1.67	6.32	0.62	7.38
5.0	2.5_7.5	6	12n	4.71	0.74	209.0	6.3	2.33	4.78	5.64	3.37	5.99	2.66	4.27	5.29	0.51	0.76	2.5	7.5	2.66	5.99	2.66	5.99	1.82	6.81	0.85	7.78
5.0	2.5_7.5	7	12n	4.95	0.65	327.0	6.43	2.58	5.01	5.97	3.78	6.21	3.44	4.51	5.4	0.44	0.65	2.5	7.5	3.44	6.21	3.44	6.21	2.08	6.82	1.28	7.73
5.0	2.5_7.5	8	12n	5.07	0.61	300.0	6.72	3.09	5.09	6.03	4.09	6.4	3.37	4.71	5.43	0.36	0.53	2.5	7.5	3.37	6.4	3.37	6.4	2.71	7.06	1.87	7.94
5.0	2.5_7.5	9	12n	4.97	0.47	280.0	5.87	3.28	5.04	5.58	4.1	5.71	3.61	4.68	5.35	0.34	0.5	2.5	7.5	3.61	5.71	3.61	5.71	2.92	6.18	2.34	6.81
5.0	2.5_7.5	10	12n	5.22	0.54	293.0	6.9	3.4	5.24	6.07	4.34	6.52	3.73	4.87	5.56	0.35	0.52	2.5	7.5	3.73	6.52	3.73	6.52	3.03	7.22	2.32	7.98
5.0	2.5_7.5	11	12n	5.38	0.52	203.0	6.23	3.66	5.45	6.1	4.43	6.21	4.14	5.02	5.8	0.39	0.58	2.5	7.5	4.14	6.21	4.14	6.21	3.23	6.58	2.62	7.27
5.0	2.5_7.5	12	12n	5.74	0.88	18.0	7.0	3.93	5.95	6.75	4.1	6.95	3.96	5.37	6.19	0.51	0.75	2.5	7.5	3.96	6.95	3.96	6.95	3.35	7.24	2.17	8.76
