depth	depth_interval	month	sea_basin	mean	std	count	max	min	median	95p	5p	99p	1p	25p	75p	mad	smad	min_depth	max_depth	flag1_lower	flag1_upper	flag2_lower	flag2_upper	flag3_lower	flag3_upper	min_range_value	max_range_value
0.0	0_2.5	7	10	4.79	1.79	23.0	9.0	1.3	4.5	8.3	2.37	8.89	1.52	3.55	5.75	1.0	1.48	0.0	2.5	1.52	8.89	1.52	8.89	0.35	10.25	0.0	12.58
0.0	0_2.5	8	10	4.69	1.72	28.0	7.5	0.9	5.0	6.83	1.0	7.37	0.9	3.73	6.0	1.0	1.48	0.0	2.5	0.9	7.37	0.9	7.37	0.0	8.5	0.0	10.94
0.0	0_2.5	1	12n	5.19	2.25	94.0	10.0	0.6	5.0	9.34	1.53	10.0	1.25	3.6	6.5	1.5	2.22	0.0	2.5	1.25	10.0	1.25	10.0	0.0	11.5	0.0	14.5
0.0	0_2.5	2	12n	5.97	2.87	463.0	14.6	0.9	5.8	10.8	1.6	13.3	1.0	3.8	8.0	2.1	3.11	0.0	2.5	1.0	13.3	1.0	13.3	0.0	16.8	0.0	20.34
0.0	0_2.5	3	12n	4.42	2.08	155.0	12.5	0.7	4.15	7.72	1.77	11.96	0.95	3.0	5.5	1.35	2.0	0.0	2.5	0.95	11.96	0.95	11.96	0.0	13.85	0.0	16.66
0.0	0_2.5	4	12n	4.23	1.75	500.0	12.5	0.7	4.05	7.2	1.8	10.01	1.2	3.0	5.0	1.05	1.56	0.0	2.5	1.2	10.01	1.2	10.01	0.0	13.45	0.0	16.0
0.0	0_2.5	5	12n	4.91	2.1	364.0	13.3	1.2	4.3	9.0	2.63	11.34	1.56	3.4	5.91	1.1	1.63	0.0	2.5	1.56	11.34	1.56	11.34	0.3	14.91	0.0	17.5
0.0	0_2.5	6	12n	4.72	1.92	441.0	15.0	0.9	4.5	8.2	2.0	9.98	1.48	3.3	5.9	1.3	1.93	0.0	2.5	1.48	9.98	1.48	9.98	0.0	16.4	0.0	18.84
0.0	0_2.5	7	12n	4.05	1.6	1954.0	10.2	0.6	3.97	7.04	1.5	8.15	1.0	2.96	5.0	1.03	1.53	0.0	2.5	1.0	8.15	1.0	8.15	0.0	11.23	0.0	13.4
0.0	0_2.5	8	12n	4.32	1.72	2021.0	12.1	0.4	4.4	7.1	1.5	8.48	0.97	3.0	5.5	1.2	1.78	0.0	2.5	0.97	8.48	0.97	8.48	0.0	13.2	0.0	15.54
0.0	0_2.5	9	12n	4.95	1.78	448.0	10.3	0.0	4.92	7.96	1.5	9.35	0.85	3.9	6.0	1.07	1.59	0.0	2.5	0.85	9.35	0.85	9.35	0.0	11.38	0.0	13.86
0.0	0_2.5	10	12n	5.68	2.1	573.0	13.0	1.5	5.5	9.84	2.6	11.47	2.07	4.2	6.8	1.3	1.93	0.0	2.5	2.07	11.47	2.07	11.47	0.2	14.3	0.0	17.2
0.0	0_2.5	11	12n	6.86	2.57	331.0	15.4	2.2	6.4	12.2	3.55	13.64	3.03	4.87	8.3	1.6	2.37	0.0	2.5	3.03	13.64	3.03	13.64	0.67	17.3	0.0	20.54
0.0	0_2.5	12	12n	5.47	2.07	170.0	10.4	0.8	5.3	8.76	2.2	10.0	1.27	4.0	6.91	1.4	2.08	0.0	2.5	1.27	10.0	1.27	10.0	0.0	12.01	0.0	14.54
5.0	2.5_7.5	1	12n	4.79	2.39	61.0	10.0	0.6	4.5	9.0	1.4	10.0	1.02	3.2	6.5	1.5	2.22	2.5	7.5	1.02	10.0	1.02	10.0	0.0	12.0	0.0	14.78
5.0	2.5_7.5	2	12n	6.17	2.93	377.0	14.5	0.9	6.0	11.2	1.6	13.19	1.0	4.0	8.2	2.1	3.11	2.5	7.5	1.0	13.19	1.0	13.19	0.0	16.7	0.0	20.36
5.0	2.5_7.5	3	12n	4.35	2.28	110.0	12.5	0.7	3.98	8.38	1.65	12.41	1.04	2.7	5.5	1.43	2.11	2.5	7.5	1.04	12.41	1.04	12.41	0.0	14.02	0.0	17.06
5.0	2.5_7.5	4	12n	4.34	1.78	410.0	12.5	0.7	4.2	7.46	1.9	10.0	1.2	3.01	5.3	1.1	1.63	2.5	7.5	1.2	10.0	1.2	10.0	0.0	13.6	0.0	16.06
5.0	2.5_7.5	5	12n	5.21	2.37	252.0	13.3	1.2	4.6	10.09	2.46	11.45	1.5	3.4	6.42	1.4	2.08	2.5	7.5	1.5	11.45	1.5	11.45	0.0	15.12	0.0	18.04
5.0	2.5_7.5	6	12n	4.79	2.01	362.0	15.0	0.9	4.5	8.3	2.0	10.14	1.32	3.3	6.0	1.38	2.04	2.5	7.5	1.32	10.14	1.32	10.14	0.0	16.5	0.0	19.02
