depth	depth_interval	month	sea_basin	mean	std	count	max	min	median	95p	5p	99p	1p	25p	75p	mad	smad	min_depth	max_depth	flag1_lower	flag1_upper	flag2_lower	flag2_upper	flag3_lower	flag3_upper	min_range_value	max_range_value
0.0	0_2.5	2	12n	28.8	14.03	253.0	106.8	12.64	26.48	54.28	15.4	90.47	13.45	21.01	31.85	5.47	8.11	0.0	2.5	12.81	39.9	4.6	47.96	0.0	56.02	0.0	134.86
0.0	0_2.5	3	12n	33.99	27.23	43.0	172.0	11.54	27.52	72.99	14.34	146.8	12.29	22.13	34.72	6.7	9.93	0.0	2.5	14.04	45.52	5.96	56.32	0.0	67.12	0.0	226.46
0.0	0_2.5	4	12n	11.59	8.95	278.0	39.49	0.25	10.79	29.57	0.99	36.45	0.43	3.89	16.43	6.47	9.6	0.0	2.5	0.0	24.89	0.0	33.35	0.0	41.81	0.0	57.39
0.0	0_2.5	5	12n	6.86	6.23	248.0	38.28	0.18	5.38	18.25	0.33	25.24	0.25	1.98	10.06	3.91	5.79	0.0	2.5	0.0	17.08	0.0	24.1	0.0	31.12	0.0	50.74
0.0	0_2.5	6	12n	5.51	3.86	218.0	19.14	0.18	4.98	12.11	0.46	14.58	0.22	2.25	8.53	2.93	4.34	0.0	2.5	0.0	13.85	0.0	19.18	0.0	24.5	0.0	26.86
0.0	0_2.5	7	12n	10.81	4.37	1759.0	43.06	0.32	10.7	17.98	3.48	21.95	1.83	8.07	13.25	2.59	3.84	0.0	2.5	4.13	17.08	0.18	20.9	0.0	24.72	0.0	51.8
0.0	0_2.5	8	12n	12.91	5.34	1748.0	73.78	0.53	12.42	20.61	5.46	27.9	3.04	9.69	15.64	2.92	4.33	0.0	2.5	5.59	20.47	1.5	25.3	0.0	30.13	0.0	84.46
0.0	0_2.5	9	12n	12.8	6.24	311.0	58.32	2.53	12.33	21.2	5.73	34.41	4.24	8.9	14.98	3.13	4.64	0.0	2.5	3.76	18.96	0.0	22.93	0.0	26.9	0.0	70.8
0.0	0_2.5	10	12n	14.75	4.41	301.0	29.6	2.5	14.6	21.72	8.08	23.86	4.78	11.54	18.12	3.28	4.86	0.0	2.5	6.95	23.4	2.36	28.68	0.0	33.96	0.0	38.42
0.0	0_2.5	11	12n	18.4	5.29	205.0	33.11	4.63	17.8	26.99	10.83	32.02	9.11	14.6	22.39	3.97	5.89	0.0	2.5	9.8	29.28	5.0	36.16	0.2	43.04	0.0	43.69
0.0	0_2.5	12	12n	25.68	7.62	34.0	49.13	16.0	23.15	40.18	16.4	46.78	16.13	20.77	28.66	3.05	4.52	0.0	2.5	17.2	36.93	13.63	45.19	10.06	53.46	0.76	64.37
5.0	2.5_7.5	1	12n	33.69	7.84	24.0	62.1	22.0	32.5	45.7	25.33	58.58	22.7	29.98	35.47	3.04	4.51	2.5	7.5	26.2	39.92	22.42	44.38	18.64	48.83	6.32	77.78
5.0	2.5_7.5	2	12n	25.93	8.29	247.0	70.29	12.5	24.6	42.47	14.96	50.28	13.4	20.2	30.29	5.16	7.65	2.5	7.5	13.6	38.82	7.0	47.36	0.4	55.89	0.0	86.87
5.0	2.5_7.5	3	12n	34.07	9.38	43.0	55.5	18.3	33.47	49.8	19.57	54.8	18.39	26.37	40.76	7.46	11.06	2.5	7.5	15.72	51.69	5.07	62.63	0.0	73.56	0.0	74.26
5.0	2.5_7.5	4	12n	12.71	9.71	268.0	59.75	0.18	11.75	30.29	0.91	37.19	0.41	4.5	19.29	7.38	10.93	2.5	7.5	0.0	30.6	0.0	41.91	0.0	53.22	0.0	79.17
5.0	2.5_7.5	5	12n	8.72	8.2	190.0	51.95	0.21	7.1	22.62	0.48	38.03	0.36	2.53	11.91	4.76	7.07	2.5	7.5	0.0	19.12	0.0	26.34	0.0	33.56	0.0	68.35
5.0	2.5_7.5	6	12n	7.06	6.37	221.0	38.5	0.14	5.7	18.04	0.43	29.77	0.25	2.46	10.21	3.78	5.6	2.5	7.5	0.0	16.98	0.0	23.74	0.0	30.51	0.0	51.24
5.0	2.5_7.5	7	12n	10.5	8.83	407.0	78.43	0.32	8.55	27.07	2.5	44.72	1.73	4.98	12.76	3.88	5.76	2.5	7.5	0.0	19.08	0.0	25.39	0.0	31.7	0.0	96.09
5.0	2.5_7.5	8	12n	12.44	8.79	391.0	82.6	0.53	10.33	29.15	4.15	45.19	2.98	7.25	14.24	3.58	5.31	2.5	7.5	2.63	20.1	0.0	25.97	0.0	31.84	0.0	100.18
5.0	2.5_7.5	9	12n	12.62	5.25	307.0	53.03	3.06	12.13	19.9	5.83	27.86	4.06	9.08	15.33	3.18	4.71	2.5	7.5	4.5	20.13	0.0	24.93	0.0	29.73	0.0	63.53
5.0	2.5_7.5	10	12n	14.68	4.42	293.0	27.42	2.52	14.51	22.08	8.01	25.51	4.89	11.5	17.98	3.12	4.62	2.5	7.5	6.98	23.18	2.47	28.39	0.0	33.6	0.0	36.26
5.0	2.5_7.5	11	12n	18.5	5.35	213.0	32.05	4.63	18.09	28.06	10.94	31.56	9.84	14.42	22.43	3.99	5.92	2.5	7.5	8.91	28.94	3.41	35.45	0.0	41.96	0.0	42.75
