depth	depth_interval	month	sea_basin	mean	std	count	max	min	median	95p	5p	99p	1p	25p	75p	mad	smad	min_depth	max_depth	flag1_lower	flag1_upper	flag2_lower	flag2_upper	flag3_lower	flag3_upper	min_range_value	max_range_value
0.0	0_2.5	7	10	18.64	3.54	26.0	23.2	8.3	19.75	22.3	11.25	23.04	8.93	18.35	20.8	1.25	1.85	0.0	2.5	8.93	23.04	8.93	23.04	6.9	24.25	1.22	30.28
0.0	0_2.5	8	10	18.65	2.17	28.0	22.4	13.7	18.1	21.66	15.49	22.21	14.14	17.55	20.93	1.6	2.37	0.0	2.5	14.14	22.21	14.14	22.21	13.15	25.23	9.36	26.74
0.0	0_2.5	1	12n	1.86	1.05	26.0	3.5	0.0	1.84	3.49	0.02	3.5	0.0	1.08	2.84	0.84	1.24	0.0	2.5	0.0	3.5	0.0	3.5	-0.76	4.5	-2.0	5.6
0.0	0_2.5	2	12n	0.74	0.73	202.0	3.0	-1.0	0.65	2.1	-0.2	2.8	-0.31	0.1	1.18	0.55	0.81	0.0	2.5	-0.31	2.8	-0.31	2.8	-1.55	3.53	-2.0	4.46
0.0	0_2.5	3	12n	1.58	0.84	33.0	3.38	-0.5	1.57	2.85	0.16	3.25	-0.31	1.1	1.9	0.42	0.63	0.0	2.5	-0.31	3.25	-0.31	3.25	-0.97	3.71	-2.0	5.06
0.0	0_2.5	4	12n	4.12	1.57	260.0	11.4	0.85	4.0	6.59	2.03	9.49	1.38	3.14	4.9	0.9	1.33	0.0	2.5	1.38	9.49	1.38	9.49	-0.01	12.3	-2.0	14.54
0.0	0_2.5	5	12n	8.85	1.66	203.0	16.0	4.1	8.7	11.49	6.5	13.48	5.11	7.76	9.85	1.04	1.54	0.0	2.5	5.11	13.48	5.11	13.48	3.16	17.15	0.78	19.32
0.0	0_2.5	6	12n	13.04	2.27	210.0	19.4	7.98	12.95	16.74	9.58	18.59	8.29	11.3	14.69	1.71	2.53	0.0	2.5	8.29	18.59	8.29	18.59	6.33	21.14	3.44	23.94
0.0	0_2.5	7	12n	17.32	2.14	328.0	25.0	13.21	17.05	20.97	14.25	23.77	13.61	15.84	18.53	1.32	1.96	0.0	2.5	13.61	23.77	13.61	23.77	12.0	26.48	8.93	29.28
0.0	0_2.5	8	12n	18.26	1.97	337.0	23.82	11.7	18.36	21.44	14.98	22.41	14.07	16.7	19.6	1.34	1.99	0.0	2.5	14.07	22.41	14.07	22.41	10.04	25.06	7.76	27.76
0.0	0_2.5	9	12n	14.9	1.79	256.0	20.65	10.67	14.76	18.01	12.3	20.4	11.81	13.65	15.9	1.14	1.69	0.0	2.5	11.81	20.4	11.81	20.4	9.56	21.79	7.09	24.23
0.0	0_2.5	10	12n	10.35	1.72	300.0	14.7	6.0	10.43	13.09	7.3	14.5	6.33	9.3	11.4	1.03	1.53	0.0	2.5	6.33	14.5	6.33	14.5	4.87	15.67	2.56	18.14
0.0	0_2.5	11	12n	6.91	1.33	199.0	10.4	3.27	7.0	9.0	4.67	9.61	3.86	6.16	7.88	0.85	1.26	0.0	2.5	3.86	9.61	3.86	9.61	2.43	11.28	0.61	13.06
