depth	depth_interval	month	sea_basin	mean	std	count	max	min	median	95p	5p	99p	1p	25p	75p	mad	smad	min_depth	max_depth	flag1_lower	flag1_upper	flag2_lower	flag2_upper	flag3_lower	flag3_upper	min_range_value	max_range_value
0.0	0_2.5	1	12n	1.32	0.87	82.0	4.07	-0.23	1.23	2.83	0.1	4.01	-0.21	0.71	1.82	0.53	0.79	0.0	2.5	-0.07	2.7	-0.85	3.59	-1.63	4.48	-1.97	5.81
0.0	0_2.5	2	12n	1.31	0.87	296.0	3.9	-0.5	1.2	2.99	0.1	3.5	-0.0	0.69	1.77	0.55	0.81	0.0	2.5	-0.08	2.62	-0.84	3.48	-1.6	4.34	-2.0	5.64
0.0	0_2.5	3	12n	2.16	1.21	137.0	4.55	-0.06	2.13	3.73	0.25	4.38	-0.01	1.1	3.25	1.1	1.63	0.0	2.5	-0.44	4.93	-1.99	6.61	-2.0	8.29	-2.0	6.97
0.0	0_2.5	4	12n	5.68	2.27	265.0	12.4	0.4	5.53	9.85	2.32	11.96	1.2	4.1	7.0	1.43	2.12	0.0	2.5	1.95	9.2	-0.19	11.41	-2.0	13.61	-2.0	16.94
0.0	0_2.5	5	12n	11.05	2.59	180.0	18.4	5.5	10.85	15.68	6.75	18.15	6.37	9.4	12.51	1.64	2.43	0.0	2.5	7.23	15.0	5.05	17.49	2.88	19.98	0.32	23.58
0.0	0_2.5	6	12n	15.63	2.6	254.0	21.9	8.7	15.25	20.08	11.59	21.65	10.14	13.8	17.58	1.93	2.85	0.0	2.5	11.63	21.07	9.45	24.57	7.28	28.06	3.5	27.1
0.0	0_2.5	7	12n	18.31	2.58	1586.0	25.26	7.37	18.15	22.94	14.29	24.27	13.02	16.48	20.0	1.77	2.62	0.0	2.5	13.98	22.78	11.47	25.55	8.97	28.33	2.21	30.42
0.0	0_2.5	8	12n	18.44	2.21	1690.0	24.17	7.5	18.73	21.52	14.16	22.63	11.56	17.39	19.81	1.18	1.74	0.0	2.5	15.38	21.43	13.37	23.05	11.36	24.67	3.08	28.59
0.0	0_2.5	9	12n	15.69	1.28	208.0	19.27	11.5	15.68	17.77	13.72	18.81	12.62	14.93	16.5	0.82	1.22	0.0	2.5	13.8	17.73	12.68	18.96	11.56	20.19	8.94	21.83
0.0	0_2.5	10	12n	10.34	1.53	307.0	13.97	6.0	10.3	13.0	7.9	13.49	7.13	9.3	11.4	1.07	1.58	0.0	2.5	7.8	13.05	6.3	14.7	4.8	16.35	2.94	17.03
0.0	0_2.5	11	12n	6.79	1.48	149.0	9.5	2.1	6.8	9.0	4.34	9.35	2.82	5.8	8.1	1.12	1.66	0.0	2.5	4.3	10.05	2.8	12.0	1.3	13.95	-0.86	12.46
0.0	0_2.5	12	12n	3.32	1.54	119.0	6.7	0.1	3.33	5.8	0.79	6.18	0.21	2.42	4.5	1.07	1.58	0.0	2.5	1.05	6.26	-0.31	8.01	-1.68	9.76	-2.0	9.78
5.0	2.5_7.5	1	12n	2.1	0.93	81.0	4.68	-0.22	2.12	3.34	0.66	4.34	0.18	1.5	2.6	0.58	0.86	2.5	7.5	0.57	3.32	-0.36	4.04	-1.29	4.76	-2.0	6.54
5.0	2.5_7.5	2	12n	1.81	1.05	286.0	5.05	-0.06	1.7	3.59	0.3	4.72	0.09	1.04	2.5	0.73	1.08	2.5	7.5	0.05	3.7	-0.94	4.9	-1.93	6.1	-2.0	7.15
