depth	depth_interval	month	sea_basin	mean	std	count	max	min	median	95p	5p	99p	1p	25p	75p	mad	smad	min_depth	max_depth	flag1_lower	flag1_upper	flag2_lower	flag2_upper	flag3_lower	flag3_upper	min_range_value	max_range_value
0.0	0_2.5	7	10	0.25	0.32	26.0	1.55	0.09	0.12	0.78	0.09	1.36	0.09	0.1	0.21	0.03	0.04	0.0	2.5	0.09	1.36	0.09	1.36	0.07	1.64	0.0	2.19
0.0	0_2.5	8	10	0.14	0.06	28.0	0.28	0.07	0.12	0.24	0.07	0.27	0.07	0.09	0.16	0.04	0.06	0.0	2.5	0.07	0.27	0.07	0.27	0.04	0.32	0.0	0.4
0.0	0_2.5	2	12n	19.19	17.52	392.0	106.65	0.34	14.89	59.37	3.04	88.43	0.7	8.07	22.42	7.13	10.57	0.0	2.5	0.7	88.43	0.7	88.43	0.0	114.18	0.0	141.69
0.0	0_2.5	3	12n	47.17	187.21	64.0	1347.5	0.5	11.88	58.09	0.73	947.07	0.5	6.05	20.9	7.38	10.95	0.0	2.5	0.5	947.07	0.5	947.07	0.0	1356.52	0.0	1721.92
0.0	0_2.5	4	12n	5.47	10.32	383.0	127.6	0.07	1.07	22.51	0.14	43.19	0.07	0.36	6.77	0.93	1.38	0.0	2.5	0.07	43.19	0.07	43.19	0.0	133.3	0.0	148.24
0.0	0_2.5	5	12n	1.65	3.37	264.0	19.07	0.07	0.44	9.24	0.13	17.51	0.07	0.36	0.86	0.18	0.26	0.0	2.5	0.07	17.51	0.07	17.51	0.0	19.49	0.0	25.81
0.0	0_2.5	6	12n	1.17	1.92	342.0	11.85	0.07	0.5	5.71	0.11	9.43	0.07	0.36	0.75	0.21	0.31	0.0	2.5	0.07	9.43	0.07	9.43	0.0	12.1	0.0	15.69
0.0	0_2.5	7	12n	0.47	2.81	1851.0	111.98	0.07	0.18	1.15	0.11	5.85	0.09	0.15	0.3	0.05	0.07	0.0	2.5	0.09	5.85	0.09	5.85	0.04	112.1	0.0	117.6
0.0	0_2.5	8	12n	0.51	1.44	1829.0	35.7	0.03	0.2	1.71	0.11	4.62	0.07	0.14	0.37	0.07	0.1	0.0	2.5	0.07	4.62	0.07	4.62	0.0	35.87	0.0	38.58
0.0	0_2.5	9	12n	1.19	3.14	344.0	31.66	0.07	0.5	3.21	0.12	18.08	0.07	0.36	0.93	0.23	0.34	0.0	2.5	0.07	18.08	0.07	18.08	0.0	32.09	0.0	37.94
0.0	0_2.5	10	12n	2.32	2.9	467.0	21.2	0.07	1.29	7.64	0.23	13.79	0.14	0.5	2.83	0.93	1.38	0.0	2.5	0.14	13.79	0.14	13.79	0.0	22.74	0.0	27.0
0.0	0_2.5	11	12n	5.65	4.73	225.0	28.41	0.36	4.05	13.34	1.16	26.46	0.38	2.78	6.64	1.76	2.61	0.0	2.5	0.38	26.46	0.38	26.46	0.0	31.0	0.0	37.87
0.0	0_2.5	12	12n	5.95	5.01	72.0	18.77	0.34	4.9	17.26	0.7	18.08	0.36	1.93	8.25	3.18	4.72	0.0	2.5	0.36	18.08	0.36	18.08	0.0	22.12	0.0	28.79
5.0	2.5_7.5	1	12n	13.68	3.85	27.0	21.59	6.88	13.49	20.49	7.83	21.44	6.97	11.19	16.26	2.73	4.05	2.5	7.5	6.97	21.44	6.97	21.44	4.58	24.36	0.0	29.29
5.0	2.5_7.5	2	12n	12.81	6.66	298.0	38.55	0.31	12.36	23.72	3.57	30.22	0.71	7.42	17.05	4.77	7.07	2.5	7.5	0.71	30.22	0.71	30.22	0.0	43.24	0.0	51.87
5.0	2.5_7.5	3	12n	10.29	6.9	53.0	26.51	0.43	9.64	20.71	0.5	24.69	0.43	4.13	15.79	6.14	9.1	2.5	7.5	0.43	24.69	0.43	24.69	0.0	32.66	0.0	40.31
5.0	2.5_7.5	4	12n	4.27	6.28	284.0	31.2	0.07	0.74	18.3	0.12	25.54	0.07	0.36	6.23	0.61	0.91	2.5	7.5	0.07	25.54	0.07	25.54	0.0	36.69	0.0	43.76
5.0	2.5_7.5	5	12n	1.05	2.63	206.0	24.5	0.07	0.38	4.2	0.07	14.45	0.07	0.36	0.6	0.12	0.18	2.5	7.5	0.07	14.45	0.07	14.45	0.05	24.72	0.0	29.76
5.0	2.5_7.5	6	12n	1.17	1.86	279.0	11.71	0.07	0.5	5.64	0.14	8.83	0.07	0.35	0.84	0.21	0.32	2.5	7.5	0.07	8.83	0.07	8.83	0.0	12.05	0.0	15.43
5.0	2.5_7.5	7	12n	1.13	2.85	459.0	43.34	0.07	0.42	4.76	0.1	10.19	0.07	0.23	0.94	0.28	0.41	2.5	7.5	0.07	10.19	0.07	10.19	0.0	43.86	0.0	49.04
5.0	2.5_7.5	8	12n	1.86	9.73	458.0	194.02	0.07	0.5	6.57	0.11	11.01	0.07	0.36	1.14	0.28	0.41	2.5	7.5	0.07	11.01	0.07	11.01	0.0	194.66	0.0	213.48
5.0	2.5_7.5	9	12n	1.01	1.65	338.0	23.07	0.07	0.5	3.15	0.12	5.44	0.07	0.36	1.0	0.2	0.29	2.5	7.5	0.07	5.44	0.07	5.44	0.0	23.57	0.0	26.37
5.0	2.5_7.5	10	12n	2.27	2.75	348.0	20.77	0.09	1.29	7.98	0.21	11.9	0.14	0.5	2.77	0.93	1.38	2.5	7.5	0.14	11.9	0.14	11.9	0.0	22.25	0.0	26.27
5.0	2.5_7.5	11	12n	5.52	4.32	234.0	26.35	0.36	4.28	13.15	1.41	24.3	0.43	2.92	6.5	1.59	2.37	2.5	7.5	0.43	24.3	0.43	24.3	0.0	28.57	0.0	34.99
5.0	2.5_7.5	12	12n	6.4	4.86	67.0	18.2	0.34	5.14	15.9	0.7	17.83	0.35	2.97	8.96	2.86	4.24	2.5	7.5	0.35	17.83	0.35	17.83	0.0	22.02	0.0	27.92
10.0	7.5_12.5	1	12n	19.79	16.8	49.0	92.82	7.63	14.62	49.74	9.56	89.59	8.24	11.81	20.61	3.72	5.51	7.5	12.5	8.24	89.59	8.24	89.59	4.82	98.81	0.0	126.42
10.0	7.5_12.5	2	12n	13.57	12.77	326.0	159.89	0.14	10.71	32.17	3.81	53.18	0.7	7.07	16.11	4.25	6.31	7.5	12.5	0.7	53.18	0.7	53.18	0.0	165.29	0.0	185.43
10.0	7.5_12.5	3	12n	18.38	19.31	80.0	99.29	0.5	12.92	46.84	0.84	97.28	0.5	6.84	21.35	6.57	9.74	7.5	12.5	0.5	97.28	0.5	97.28	0.0	107.72	0.0	137.91
10.0	7.5_12.5	4	12n	6.51	15.22	322.0	205.79	0.07	1.83	20.85	0.13	61.39	0.07	0.37	7.28	1.62	2.4	7.5	12.5	0.07	61.39	0.07	61.39	0.0	211.24	0.0	236.23
10.0	7.5_12.5	5	12n	4.18	11.38	238.0	106.66	0.07	0.57	18.91	0.14	57.72	0.07	0.36	2.32	0.28	0.41	7.5	12.5	0.07	57.72	0.07	57.72	0.0	108.41	0.0	129.42
10.0	7.5_12.5	6	12n	4.74	10.68	317.0	70.29	0.07	0.71	29.28	0.2	59.87	0.07	0.41	2.98	0.43	0.63	7.5	12.5	0.07	59.87	0.07	59.87	0.0	72.56	0.0	91.65
10.0	7.5_12.5	7	12n	3.62	9.66	612.0	81.46	0.07	0.47	21.37	0.1	53.08	0.08	0.2	1.49	0.33	0.49	7.5	12.5	0.08	53.08	0.08	53.08	0.0	82.48	0.0	100.78
10.0	7.5_12.5	8	12n	7.93	19.95	594.0	169.5	0.07	0.78	49.01	0.13	88.87	0.1	0.36	2.76	0.58	0.87	7.5	12.5	0.1	88.87	0.1	88.87	0.0	171.48	0.0	209.4
10.0	7.5_12.5	9	12n	7.84	19.27	356.0	156.56	0.07	1.12	43.52	0.29	107.22	0.11	0.5	3.32	0.76	1.12	7.5	12.5	0.11	107.22	0.11	107.22	0.0	158.76	0.0	195.1
10.0	7.5_12.5	10	12n	6.95	15.58	389.0	171.59	0.14	2.1	32.55	0.36	74.07	0.14	0.93	4.82	1.43	2.11	7.5	12.5	0.14	74.07	0.14	74.07	0.0	174.31	0.0	202.75
10.0	7.5_12.5	11	12n	9.4	14.79	265.0	147.15	0.57	5.11	33.09	1.79	69.55	0.92	3.21	8.56	2.19	3.25	7.5	12.5	0.92	69.55	0.92	69.55	0.0	150.6	0.0	176.73
