depth	depth_interval	month	sea_basin	mean	std	count	max	min	median	95p	5p	99p	1p	25p	75p	mad	smad	min_depth	max_depth	flag1_lower	flag1_upper	flag2_lower	flag2_upper	flag3_lower	flag3_upper	min_range_value	max_range_value
0.0	0_2.5	7	10	9.15	0.76	22.0	10.76	7.0	9.21	9.9	8.31	10.58	7.28	8.74	9.61	0.46	0.68	0.0	2.5	8.04	10.21	7.33	10.81	6.62	11.41	5.48	12.28
0.0	0_2.5	8	10	8.79	1.07	25.0	9.96	6.01	9.09	9.85	6.5	9.93	6.1	8.77	9.48	0.39	0.58	0.0	2.5	8.29	10.07	7.81	10.65	7.33	11.24	3.87	12.1
0.0	0_2.5	1	12n	8.5	0.82	64.0	9.67	6.52	8.6	9.44	6.68	9.6	6.54	8.23	9.12	0.5	0.74	0.0	2.5	7.68	9.9	7.12	10.68	6.57	11.46	4.88	11.31
0.0	0_2.5	2	12n	8.52	1.11	423.0	11.1	2.38	8.76	9.88	6.6	10.34	3.93	8.13	9.1	0.44	0.66	0.0	2.5	7.19	9.61	6.24	10.12	5.3	10.63	0.16	13.32
0.0	0_2.5	3	12n	8.85	1.39	122.0	13.57	5.22	9.06	10.67	5.95	12.29	5.5	8.3	9.59	0.66	0.98	0.0	2.5	7.16	10.38	6.02	11.18	4.88	11.97	2.44	16.35
0.0	0_2.5	4	12n	9.72	1.12	431.0	12.99	1.44	9.7	11.3	8.34	12.27	5.05	9.28	10.24	0.5	0.74	0.0	2.5	8.65	11.05	8.02	11.86	7.39	12.67	0.0	15.23
0.0	0_2.5	5	12n	8.43	0.71	271.0	11.2	6.8	8.26	9.73	7.56	10.42	7.21	7.91	8.9	0.42	0.62	0.0	2.5	7.39	9.86	6.86	10.82	6.34	11.78	5.38	12.62
0.0	0_2.5	6	12n	7.48	0.64	368.0	10.31	5.6	7.43	8.65	6.53	9.4	6.16	7.1	7.77	0.33	0.49	0.0	2.5	6.6	8.28	6.11	8.79	5.61	9.3	4.32	11.59
0.0	0_2.5	7	12n	6.82	0.52	1680.0	8.61	4.1	6.83	7.66	5.99	7.96	5.43	6.49	7.15	0.33	0.49	0.0	2.5	5.98	7.63	5.47	8.11	4.96	8.59	3.06	9.65
0.0	0_2.5	8	12n	6.49	0.59	1756.0	8.41	1.3	6.53	7.4	5.49	7.88	5.03	6.13	6.85	0.36	0.53	0.0	2.5	5.53	7.33	4.93	7.81	4.33	8.29	0.12	9.59
