depth	depth_interval	month	sea_basin	mean	std	count	max	min	median	95p	5p	99p	1p	25p	75p	mad	smad	min_depth	max_depth	flag1_lower	flag1_upper	flag2_lower	flag2_upper	flag3_lower	flag3_upper	min_range_value	max_range_value
0.0	0_2.5	7	10	141.97	10.73	22.0	158.9	108.92	142.73	157.87	131.16	158.69	113.58	136.97	146.63	5.53	8.2	0.0	2.5	113.58	158.69	113.58	158.69	103.16	162.8	87.46	180.36
0.0	0_2.5	8	10	137.81	18.05	25.0	161.81	94.36	144.18	151.3	98.14	159.39	95.07	140.62	146.2	3.45	5.12	0.0	2.5	95.07	159.39	95.07	159.39	90.8	163.83	58.26	197.91
0.0	0_2.5	1	12n	88.9	8.47	64.0	99.53	66.65	90.97	98.4	70.86	98.97	67.05	86.97	95.23	4.14	6.14	0.0	2.5	67.05	98.97	67.05	98.97	62.65	103.79	49.71	116.47
0.0	0_2.5	2	12n	88.47	11.58	407.0	112.78	25.2	90.47	102.72	67.52	107.15	47.3	84.43	94.94	5.26	7.8	0.0	2.5	47.3	107.15	47.3	107.15	19.16	117.25	2.04	135.94
0.0	0_2.5	3	12n	94.48	16.07	122.0	148.45	52.9	95.99	114.39	60.64	132.83	57.01	87.36	104.9	8.91	13.21	0.0	2.5	57.01	132.83	57.01	132.83	44.27	157.36	20.76	180.59
0.0	0_2.5	4	12n	111.11	14.21	430.0	162.72	14.86	110.84	132.03	97.44	149.18	53.49	104.93	117.07	6.0	8.89	0.0	2.5	53.49	149.18	53.49	149.18	8.95	168.95	0.0	191.14
0.0	0_2.5	5	12n	109.62	8.61	269.0	145.99	92.36	108.11	125.02	98.88	137.07	95.78	103.52	114.15	4.93	7.31	0.0	2.5	95.78	137.07	95.78	137.07	87.77	152.03	75.14	163.21
0.0	0_2.5	6	12n	106.34	8.45	367.0	160.19	77.78	104.73	119.23	95.99	131.12	90.15	101.17	110.5	4.28	6.35	0.0	2.5	90.15	131.12	90.15	131.12	74.22	165.96	60.88	177.09
0.0	0_2.5	7	12n	104.87	7.26	1668.0	130.36	63.85	104.89	116.33	92.3	121.88	86.28	100.78	109.19	4.24	6.29	0.0	2.5	86.28	121.88	86.28	121.88	59.74	134.66	49.33	144.88
0.0	0_2.5	8	12n	100.36	9.09	1751.0	130.74	19.38	101.2	114.24	84.37	123.02	80.02	95.1	105.82	5.18	7.68	0.0	2.5	80.02	123.02	80.02	123.02	13.28	135.36	1.2	148.92
0.0	0_2.5	9	12n	94.49	7.27	413.0	121.34	65.84	93.66	107.34	84.61	117.64	78.0	90.04	98.33	4.07	6.04	0.0	2.5	78.0	117.64	78.0	117.64	62.22	126.01	51.3	135.88
0.0	0_2.5	10	12n	90.56	5.67	494.0	110.86	69.34	90.63	99.16	81.5	104.38	75.04	87.53	93.97	3.16	4.68	0.0	2.5	75.04	104.38	75.04	104.38	66.24	114.2	58.0	122.2
0.0	0_2.5	11	12n	85.39	7.88	303.0	96.78	2.61	86.73	93.11	73.3	95.19	60.7	82.94	89.82	3.38	5.0	0.0	2.5	60.7	95.19	60.7	95.19	0.0	99.87	0.0	112.54
0.0	0_2.5	12	12n	88.63	7.63	122.0	108.07	62.98	88.79	99.94	75.16	105.29	73.86	83.17	93.98	5.42	8.04	0.0	2.5	73.86	105.29	73.86	105.29	57.36	113.26	47.72	123.33
5.0	2.5_7.5	1	12n	84.87	10.76	64.0	101.03	53.91	86.67	98.57	64.52	99.83	56.01	78.5	92.96	6.77	10.04	2.5	7.5	56.01	99.83	56.01	99.83	45.74	107.32	32.39	122.55
5.0	2.5_7.5	2	12n	84.47	16.18	391.0	109.41	15.94	89.76	101.51	50.36	105.21	30.31	80.46	94.07	6.19	9.18	2.5	7.5	30.31	105.21	30.31	105.21	6.64	113.72	0.0	141.77
5.0	2.5_7.5	3	12n	83.62	19.36	115.0	113.45	32.29	88.86	108.11	46.27	112.07	36.37	71.1	96.63	9.37	13.89	2.5	7.5	36.37	112.07	36.37	112.07	14.53	121.22	0.0	152.17
5.0	2.5_7.5	4	12n	103.65	19.96	418.0	147.49	0.0	107.59	128.09	62.22	142.5	19.03	99.99	112.73	6.69	9.91	2.5	7.5	19.03	142.5	19.03	142.5	0.0	152.63	0.0	187.41
5.0	2.5_7.5	5	12n	101.86	19.16	269.0	140.99	0.0	104.41	124.32	64.01	134.82	27.57	100.04	111.07	5.88	8.72	2.5	7.5	27.57	134.82	27.57	134.82	0.0	147.65	0.0	179.31
5.0	2.5_7.5	6	12n	98.3	16.32	355.0	137.72	0.0	101.88	115.0	63.99	123.93	47.16	96.88	106.91	5.0	7.42	2.5	7.5	47.16	123.93	47.16	123.93	0.0	142.75	0.0	170.36
5.0	2.5_7.5	7	12n	99.25	16.76	1432.0	135.64	0.0	103.1	117.33	64.71	124.33	35.33	94.24	109.0	6.85	10.16	2.5	7.5	35.33	124.33	35.33	124.33	0.0	141.54	0.0	169.16
5.0	2.5_7.5	8	12n	90.73	16.29	1510.0	139.22	0.0	93.29	111.18	60.72	118.69	35.79	83.01	101.43	9.15	13.57	2.5	7.5	35.79	118.69	35.79	118.69	0.0	147.36	0.0	171.8
5.0	2.5_7.5	9	12n	89.69	8.92	397.0	112.91	45.51	90.88	101.15	72.25	105.65	61.42	85.89	95.0	4.43	6.58	2.5	7.5	61.42	105.65	61.42	105.65	40.52	117.03	27.67	130.75
5.0	2.5_7.5	10	12n	89.11	7.28	479.0	116.5	49.91	89.7	98.58	76.68	104.27	61.53	86.36	93.06	3.35	4.97	2.5	7.5	61.53	104.27	61.53	104.27	46.57	119.86	35.35	131.06
5.0	2.5_7.5	11	12n	84.98	7.12	299.0	99.69	50.6	86.43	92.97	71.3	95.32	59.06	82.16	89.49	3.54	5.25	2.5	7.5	59.06	95.32	59.06	95.32	46.33	102.75	36.36	113.93
5.0	2.5_7.5	12	12n	86.27	12.84	113.0	112.36	0.0	87.48	98.52	69.35	109.48	62.01	79.8	94.97	7.68	11.38	2.5	7.5	62.01	109.48	62.01	109.48	0.0	119.85	0.0	138.04
10.0	7.5_12.5	1	12n	68.86	26.76	63.0	106.23	0.0	78.34	97.37	17.75	105.22	5.7	50.34	89.51	13.96	20.7	7.5	12.5	5.7	105.22	5.7	105.22	0.0	117.4	0.0	159.75
10.0	7.5_12.5	2	12n	77.84	27.24	376.0	113.43	0.0	89.28	101.33	11.28	104.52	1.59	75.77	93.43	5.9	8.74	7.5	12.5	1.59	104.52	1.59	104.52	0.0	117.58	0.0	167.91
10.0	7.5_12.5	3	12n	61.83	37.41	119.0	111.6	0.0	79.64	102.16	0.0	111.38	0.0	23.76	92.99	17.52	25.98	7.5	12.5	0.0	111.38	0.0	111.38	0.0	124.95	0.0	186.42
10.0	7.5_12.5	4	12n	85.66	33.99	417.0	130.65	0.0	99.4	113.2	0.77	123.36	0.0	87.1	104.5	6.86	10.18	7.5	12.5	0.0	123.36	0.0	123.36	0.0	135.75	0.0	198.63
10.0	7.5_12.5	5	12n	77.0	37.76	276.0	126.45	0.0	95.11	111.35	0.0	122.06	0.0	50.97	101.02	8.01	11.87	7.5	12.5	0.0	122.06	0.0	122.06	0.0	132.36	0.0	201.97
10.0	7.5_12.5	6	12n	73.31	36.62	356.0	117.55	0.0	89.58	105.05	0.0	111.02	0.0	63.61	97.99	10.12	15.0	7.5	12.5	0.0	111.02	0.0	111.02	0.0	125.96	0.0	190.79
10.0	7.5_12.5	7	12n	75.5	30.55	1176.0	123.99	0.0	85.6	106.72	0.63	111.66	0.0	66.7	96.17	12.29	18.21	7.5	12.5	0.0	111.66	0.0	111.66	0.0	134.56	0.0	185.09
10.0	7.5_12.5	8	12n	67.28	31.12	1225.0	112.49	0.0	75.4	103.55	0.0	109.67	0.0	57.93	89.78	15.09	22.38	7.5	12.5	0.0	109.67	0.0	109.67	0.0	126.87	0.0	174.73
10.0	7.5_12.5	9	12n	66.89	31.37	382.0	105.99	0.0	80.35	96.05	0.52	101.57	0.0	57.32	89.19	11.4	16.91	7.5	12.5	0.0	101.57	0.0	101.57	0.0	114.83	0.0	168.73
