depth	depth_interval	month	sea_basin	mean	std	count	max	min	median	95p	5p	99p	1p	25p	75p	mad	smad	min_depth	max_depth	flag1_lower	flag1_upper	flag2_lower	flag2_upper	flag3_lower	flag3_upper	min_range_value	max_range_value
0.0	0_2.5	7	10	6.81	0.46	27.0	7.42	5.89	6.82	7.41	6.06	7.42	5.91	6.46	7.2	0.37	0.55	0.0	2.5	5.92	7.77	5.38	8.34	4.84	8.91	4.97	8.34
0.0	0_2.5	8	10	6.78	0.47	28.0	8.11	6.14	6.67	7.75	6.26	8.07	6.17	6.49	6.95	0.23	0.35	0.0	2.5	6.22	7.37	5.95	7.79	5.68	8.21	5.2	9.05
0.0	0_2.5	1	12n	4.85	0.83	110.0	6.83	2.61	4.92	6.22	3.28	6.76	2.71	4.38	5.39	0.52	0.77	0.0	2.5	3.57	6.09	2.76	6.8	1.95	7.5	0.95	8.49
0.0	0_2.5	2	12n	4.54	1.08	497.0	6.9	1.47	4.59	6.12	2.7	6.67	2.0	3.77	5.41	0.82	1.22	0.0	2.5	2.54	6.64	1.31	7.87	0.08	9.1	0.0	9.06
0.0	0_2.5	3	12n	4.56	0.82	168.0	6.9	2.3	4.55	5.88	3.3	6.44	2.94	3.99	5.17	0.6	0.89	0.0	2.5	3.15	6.1	2.31	7.03	1.47	7.96	0.66	8.54
0.0	0_2.5	4	12n	4.56	0.91	528.0	7.31	2.0	4.64	5.8	2.98	6.4	2.47	3.9	5.26	0.68	1.01	0.0	2.5	2.79	6.19	1.68	7.12	0.57	8.05	0.18	9.13
0.0	0_2.5	5	12n	4.43	0.85	384.0	6.59	2.0	4.51	5.57	2.84	5.71	2.11	3.96	5.1	0.59	0.88	0.0	2.5	3.14	5.98	2.31	6.87	1.49	7.75	0.3	8.29
0.0	0_2.5	6	12n	4.79	0.81	475.0	6.96	1.83	4.88	6.0	3.38	6.43	2.35	4.32	5.33	0.52	0.77	0.0	2.5	3.48	6.01	2.64	6.68	1.8	7.36	0.21	8.58
0.0	0_2.5	7	12n	5.34	0.81	1988.0	6.89	0.99	5.38	6.41	3.91	6.67	2.3	4.93	5.94	0.52	0.76	0.0	2.5	4.25	6.78	3.58	7.62	2.9	8.46	0.0	8.51
0.0	0_2.5	8	12n	5.41	0.77	2073.0	7.03	1.4	5.4	6.54	4.14	6.83	2.66	5.0	5.94	0.47	0.69	0.0	2.5	4.4	6.75	3.8	7.56	3.2	8.37	0.0	8.57
0.0	0_2.5	9	12n	4.89	0.67	466.0	6.36	2.0	5.04	5.6	3.7	5.87	2.26	4.63	5.34	0.35	0.52	0.0	2.5	4.01	5.79	3.4	6.24	2.78	6.69	0.66	7.7
0.0	0_2.5	10	12n	5.3	0.59	601.0	7.2	3.29	5.32	6.3	4.3	6.8	3.65	4.93	5.6	0.35	0.52	0.0	2.5	4.34	6.02	3.76	6.44	3.17	6.86	2.11	8.38
0.0	0_2.5	11	12n	5.3	0.54	348.0	6.23	3.34	5.4	6.08	4.28	6.2	3.75	5.0	5.69	0.34	0.5	0.0	2.5	4.4	6.12	3.8	6.56	3.2	7.0	2.26	7.31
0.0	0_2.5	12	12n	5.45	0.83	184.0	7.0	3.09	5.5	6.7	4.12	6.9	3.2	4.94	6.0	0.55	0.82	0.0	2.5	4.1	6.75	3.26	7.5	2.42	8.25	1.43	8.66
5.0	2.5_7.5	1	12n	5.05	0.75	82.0	7.1	2.95	5.07	6.29	3.74	6.7	3.21	4.63	5.51	0.46	0.68	2.5	7.5	3.97	6.17	3.31	6.83	2.65	7.49	1.45	8.6
5.0	2.5_7.5	2	12n	5.15	0.77	446.0	6.9	2.65	5.26	6.3	3.56	6.75	3.04	4.8	5.62	0.4	0.59	2.5	7.5	4.11	6.16	3.42	6.7	2.73	7.24	1.11	8.44
