depth	depth_interval	month	sea_basin	mean	std	count	max	min	median	95p	5p	99p	1p	25p	75p	mad	smad	min_depth	max_depth	flag1_lower	flag1_upper	flag2_lower	flag2_upper	flag3_lower	flag3_upper	min_range_value	max_range_value
0.0	0_2.5	7	10	18.62	3.48	27.0	23.2	8.3	19.7	22.27	11.34	23.04	8.95	18.27	20.7	1.3	1.93	0.0	2.5	8.95	23.04	8.95	23.04	6.87	24.2	1.34	30.16
0.0	0_2.5	8	10	18.66	2.17	28.0	22.4	13.73	18.1	21.66	15.49	22.21	14.16	17.56	20.93	1.6	2.37	0.0	2.5	14.16	22.21	14.16	22.21	13.19	25.23	9.39	26.74
0.0	0_2.5	1	12n	1.46	0.95	109.0	4.07	-0.23	1.4	3.06	0.03	3.96	-0.18	0.83	2.0	0.6	0.89	0.0	2.5	-0.18	3.96	-0.18	3.96	-0.8	4.67	-2.0	5.97
0.0	0_2.5	2	12n	1.08	0.86	498.0	3.9	-1.0	1.0	2.8	-0.09	3.43	-0.27	0.4	1.56	0.6	0.89	0.0	2.5	-0.27	3.43	-0.27	3.43	-1.6	4.46	-2.0	5.62
0.0	0_2.5	3	12n	2.05	1.17	170.0	4.55	-0.5	1.9	3.7	0.2	4.37	-0.03	1.1	3.16	1.01	1.5	0.0	2.5	-0.03	4.37	-0.03	4.37	-1.3	5.81	-2.0	6.89
0.0	0_2.5	4	12n	4.91	2.1	530.0	12.4	0.4	4.6	8.84	2.06	11.59	1.24	3.4	6.1	1.23	1.83	0.0	2.5	1.24	11.59	1.24	11.59	-0.8	13.9	-2.0	16.6
0.0	0_2.5	5	12n	9.87	2.41	387.0	18.4	4.1	9.55	13.86	6.63	17.81	5.48	8.2	11.2	1.48	2.19	0.0	2.5	5.48	17.81	5.48	17.81	2.75	20.05	-0.72	23.22
0.0	0_2.5	6	12n	14.44	2.77	477.0	21.9	7.98	14.3	19.43	10.25	20.72	8.78	12.43	16.22	1.9	2.82	0.0	2.5	8.78	20.72	8.78	20.72	6.11	23.82	2.44	27.44
0.0	0_2.5	7	12n	18.14	2.55	1917.0	25.26	7.37	17.96	22.84	14.28	24.03	13.19	16.3	19.8	1.75	2.6	0.0	2.5	13.19	24.03	13.19	24.03	5.71	27.1	2.27	30.36
0.0	0_2.5	8	12n	18.41	2.17	2025.0	24.17	7.5	18.68	21.47	14.46	22.63	11.62	17.3	19.77	1.22	1.81	0.0	2.5	11.62	22.63	11.62	22.63	6.12	25.26	3.16	28.51
0.0	0_2.5	9	12n	15.25	1.63	468.0	20.65	10.67	15.26	17.93	12.72	20.03	11.89	14.11	16.2	1.04	1.54	0.0	2.5	11.89	20.03	11.89	20.03	9.52	21.59	7.41	23.91
0.0	0_2.5	10	12n	10.35	1.63	607.0	14.7	6.0	10.36	13.07	7.68	13.97	6.4	9.3	11.4	1.04	1.54	0.0	2.5	6.4	13.97	6.4	13.97	4.94	15.74	2.74	17.96
0.0	0_2.5	11	12n	6.86	1.4	348.0	10.4	2.1	6.89	9.0	4.53	9.55	3.38	5.98	7.9	0.99	1.46	0.0	2.5	3.38	9.55	3.38	9.55	1.19	11.41	-0.7	13.2
0.0	0_2.5	12	12n	3.41	1.54	191.0	7.0	0.1	3.4	5.96	0.9	6.71	0.26	2.42	4.5	1.0	1.48	0.0	2.5	0.26	6.71	0.26	6.71	-0.88	8.1	-2.0	10.08
5.0	2.5_7.5	1	12n	2.11	0.93	82.0	4.68	-0.22	2.12	3.38	0.67	4.34	0.18	1.5	2.65	0.59	0.88	2.5	7.5	0.18	4.34	0.18	4.34	-0.84	5.21	-2.0	6.54
